,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.034979023,0.034979023,0.034979023,0.034979023,0.0,0.005963161,0.0,1.1882789e-08,2.2510735e-08,0.0,0.002324655,0.002324655,0.0023246552,0.0023246554,0.034979027,0.034979038,0.034979038,0.034979038,0.029015856,0.03497902,0.0,0.0,-0.005963161,0.032654367,0.0035342611,0.005963161,0.0,0.002428919,-1.1448694e-08,0.0,0.0059631616,-0.029015843,0.0,0.002428901,-2.7939056e-08,-0.0036385246,-0.00010426385,0.002324655,0.034979023
3600,0.034979023,0.034979023,0.034979023,0.034979023,0.0,0.0059631644,0.0,-7.7243e-09,-5.7614837e-09,0.0,0.0023246543,0.0023246543,0.0023246545,0.0023246547,0.03497901,0.034979023,0.034979023,0.034979023,0.029015856,0.034979023,0.0,0.0,-0.0059631635,0.03265435,0.0035342565,0.0059631644,0.0,0.002428906,4.3533417e-09,0.0,0.005963165,-0.029015843,0.0,0.002428908,4.9464184e-09,-0.0036385078,-0.00010425162,0.0023246543,0.034979023
7200,0.03497902,0.03497902,0.03497902,0.03497902,0.0,0.005963163,0.0,1.611061e-11,1.9044273e-09,0.0,0.0023246547,0.0023246547,0.0023246547,0.002324655,0.03497901,0.034979023,0.034979023,0.034979023,0.029015852,0.03497902,0.0,0.0,-0.0059631625,0.032654352,0.003534258,0.005963163,0.0,0.0024289107,-3.361766e-09,0.0,0.0059631644,-0.02901584,0.0,0.0024289058,-2.3501125e-09,-0.0036385134,-0.00010425574,0.0023246547,0.03497902
10800,0.03497903,0.03497903,0.03497903,0.03497903,0.0,0.0059631662,0.0,-2.932379e-10,-1.0350103e-09,0.0,0.0023246536,0.0023246536,0.0023246538,0.0023246543,0.034978997,0.034979012,0.034979012,0.034979012,0.029015861,0.03497903,0.0,0.0,-0.005963166,0.032654345,0.0035342523,0.0059631662,0.0,0.0024288953,-2.3302787e-08,0.0,0.0059631667,-0.029015848,0.0,0.002428914,3.864377e-09,-0.0036384938,-0.00010424156,0.0023246536,0.03497903
14400,0.034979023,0.034979023,0.034979023,0.034979023,0.0,0.0059631635,0.0,-5.3944555e-09,-5.6103264e-09,0.0,0.0023246545,0.0023246545,0.0023246547,0.0023246547,0.03497901,0.034979023,0.034979023,0.034979023,0.029015856,0.034979023,0.0,0.0,-0.005963163,0.032654352,0.0035342572,0.0059631635,0.0,0.0024289081,-5.44895e-11,0.0,0.005963165,-0.029015843,0.0,0.002428907,6.309701e-09,-0.0036385106,-0.0001042536,0.0023246545,0.034979023
18000,0.03497902,0.03497902,0.03497902,0.03497902,0.0,0.005963163,0.0,3.2431955e-09,3.184957e-09,0.0,0.0023246547,0.0023246547,0.0023246547,0.002324655,0.034979012,0.034979027,0.034979027,0.034979027,0.029015852,0.03497902,0.0,0.0,-0.0059631625,0.032654352,0.0035342586,0.005963163,0.0,0.0024289116,-6.5124843e-09,0.0,0.0059631635,-0.02901584,0.0,0.002428905,-1.903338e-09,-0.0036385152,-0.00010425692,0.0023246547,0.03497902
21600,0.03497904,0.03497904,0.03497904,0.03497904,0.0,0.005963168,0.0,5.8907834e-10,-4.7541974e-08,0.0,0.002324653,0.002324653,0.002324653,0.0023246533,0.03497899,0.034979004,0.034979004,0.034979004,0.029015874,0.03497904,0.0,0.0,-0.005963168,0.032654338,0.0035342479,0.005963168,0.0,0.002428883,1.19496e-09,0.0,0.0059631686,-0.02901586,0.0,0.002428921,3.953957e-08,-0.0036384773,-0.00010422982,0.002324653,0.03497904
25200,0.034979023,0.034979023,0.034979023,0.034979023,0.0,0.0059631635,0.0,-8.598563e-09,-8.523338e-09,0.0,0.0023246545,0.0023246545,0.0023246547,0.0023246547,0.03497901,0.034979023,0.034979023,0.034979023,0.029015856,0.03497902,0.0,0.0,-0.005963163,0.032654352,0.0035342574,0.0059631635,0.0,0.0024289086,1.0217732e-08,0.0,0.005963165,-0.029015843,0.0,0.0024289067,7.740358e-09,-0.003638511,-0.000104254075,0.0023246545,0.034979023
28800,0.03497902,0.03497902,0.03497902,0.03497902,0.0,0.0059631635,0.0,-4.5867248e-09,-4.293906e-09,0.0,0.0023246545,0.0023246545,0.0023246547,0.0023246547,0.03497901,0.034979023,0.034979023,0.034979023,0.029015856,0.03497902,0.0,0.0,-0.005963163,0.032654352,0.0035342576,0.0059631635,0.0,0.0024289093,5.149889e-09,0.0,0.0059631644,-0.02901584,0.0,0.0024289063,4.274641e-09,-0.0036385118,-0.00010425465,0.0023246545,0.03497902
32400,0.034979098,0.034979098,0.034979098,0.034979098,0.0,0.0059631797,0.0,1.4098552e-09,1.4172503e-09,0.0,0.0023246494,0.0023246494,0.0023246494,0.0023246496,0.03497895,0.03497896,0.03497896,0.03497896,0.02901592,0.034979098,0.0,0.0,-0.0059631793,0.0326543,0.0035342237,0.0059631797,0.0,0.0024288183,-2.932983e-08,0.0,0.0059631807,-0.029015906,0.0,0.0024289566,7.45965e-08,-0.0036383918,-0.0001041688,0.0023246494,0.034979098
36000,0.03497905,0.03497905,0.03497905,0.03497905,0.0,0.0059631695,0.0,1.1906015e-09,-1.0763338e-09,0.0,0.0023246526,0.0023246526,0.0023246529,0.002324653,0.034978982,0.034979004,0.034979004,0.034979004,0.02901588,0.03497905,0.0,0.0,-0.005963169,0.032654334,0.0035342448,0.0059631695,0.0,0.0024288755,-5.944012e-09,0.0,0.0059631704,-0.029015865,0.0,0.002428925,3.98647e-08,-0.0036384675,-0.000104222796,0.0023246526,0.03497905
39600,0.03497902,0.03497902,0.03497902,0.03497902,0.0,0.005963163,0.0,7.943119e-10,1.0140544e-09,0.0,0.0023246547,0.0023246547,0.0023246547,0.002324655,0.03497901,0.034979027,0.034979027,0.034979027,0.029015852,0.03497902,0.0,0.0,-0.0059631625,0.032654352,0.003534258,0.005963163,0.0,0.002428911,4.794723e-09,0.0,0.0059631644,-0.02901584,0.0,0.0024289056,-1.4945964e-09,-0.003638514,-0.00010425603,0.0023246547,0.03497902
43200,0.03497903,0.03497903,0.03497903,0.03497903,0.0,0.0059631653,0.0,-6.774283e-10,-5.076443e-10,0.0,0.0023246538,0.0023246538,0.002324654,0.0023246543,0.034979004,0.034979016,0.034979016,0.034979016,0.029015861,0.03497903,0.0,0.0,-0.005963165,0.032654345,0.0035342535,0.0059631653,0.0,0.0024288984,-5.2992166e-09,0.0,0.0059631662,-0.029015848,0.0,0.0024289126,7.421823e-09,-0.0036384976,-0.000104244245,0.0023246538,0.03497903
46800,0.034979023,0.034979023,0.034979023,0.034979023,0.0,0.0059631635,0.0,1.1409234e-08,1.1289066e-08,0.0,0.0023246545,0.0023246545,0.0023246547,0.0023246547,0.03497901,0.034979023,0.034979023,0.034979023,0.029015856,0.03497902,0.0,0.0,-0.005963163,0.032654352,0.0035342574,0.0059631635,0.0,0.0024289086,-8.395953e-09,0.0,0.005963165,-0.029015843,0.0,0.0024289067,-1.1548329e-08,-0.003638511,-0.00010425405,0.0023246545,0.034979023
50400,0.034979004,0.034979004,0.034979004,0.034979004,0.0,0.0059631597,0.0,6.8733874e-10,2.347062e-10,0.0,0.0023246557,0.0023246557,0.002324656,0.0023246561,0.034979023,0.034979034,0.034979034,0.034979034,0.02901584,0.034979004,0.0,0.0,-0.0059631593,0.032654364,0.0035342653,0.0059631597,0.0,0.0024289296,-1.4893206e-09,0.0,0.0059631607,-0.029015826,0.0,0.002428895,-8.0686555e-11,-0.0036385385,-0.00010427374,0.0023246557,0.034979004
