,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.038022056,0.038022056,0.038022056,0.038022056,3.403666e-08,1.0076402e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022023,0.038022023,0.038022023,0.038022023,0.038022023,0.038022023,0.0,1.9711859e-08,0.0,0.0,-3.6275105e-10,0.0,0.0,0.0,0.0,0.0,0.0,-1.9709821e-08,0.0,0.0,0.0,0.0,0.0,0.038022056
3600,0.03802213,0.03802213,0.03802213,0.03802213,1.7878472e-07,-2.9342369e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038021952,0.038021952,0.038021952,0.038021952,0.038021952,0.038021952,0.0,1.1475168e-07,0.0,0.0,4.6277293e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.2022199e-09,0.0,0.0,0.0,0.0,0.0,0.03802213
7200,0.03802204,0.03802204,0.03802204,0.03802204,7.873299e-09,1.7036549e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022038,0.038022038,0.038022038,0.038022038,0.038022038,0.038022038,0.0,9.736944e-09,0.0,0.0,1.8100327e-09,0.0,0.0,0.0,0.0,0.0,0.0,1.4889832e-09,0.0,0.0,0.0,0.0,0.0,0.03802204
10800,0.038021937,0.038021937,0.038021937,0.038021937,-1.9648411e-07,-2.245943e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03802214,0.03802214,0.03802214,0.038022134,0.038022134,0.038022134,0.0,-1.3680045e-07,0.0,0.0,-1.2877005e-07,0.0,0.0,0.0,0.0,0.0,0.0,-3.2222975e-08,0.0,0.0,0.0,0.0,0.0,0.038021937
14400,0.038022034,0.038022034,0.038022034,0.038022034,-9.772186e-09,6.395935e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022045,0.038022045,0.038022045,0.03802204,0.03802204,0.03802204,0.0,-6.6056224e-08,0.0,0.0,5.5128353e-11,0.0,0.0,0.0,0.0,0.0,0.0,-5.5572823e-08,0.0,0.0,0.0,0.0,0.0,0.038022034
18000,0.03802204,0.03802204,0.03802204,0.03802204,1.020852e-08,7.478117e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022038,0.038022038,0.038022038,0.038022034,0.038022034,0.038022034,0.0,8.154476e-10,0.0,0.0,3.6774492e-10,0.0,0.0,0.0,0.0,0.0,0.0,-4.9020005e-10,0.0,0.0,0.0,0.0,0.0,0.03802204
21600,0.03802204,0.03802204,0.03802204,0.03802204,2.3471574e-09,-3.5312793e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03802204,0.03802204,0.03802204,0.038022038,0.038022038,0.03802204,0.0,8.649482e-09,0.0,0.0,-3.7649497e-09,0.0,0.0,0.0,0.0,0.0,0.0,4.540395e-09,0.0,0.0,0.0,0.0,0.0,0.03802204
25200,0.03802204,0.03802204,0.03802204,0.03802204,3.6024772e-10,2.0819741e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03802204,0.03802204,0.03802204,0.03802204,0.03802204,0.03802204,0.0,1.899775e-08,0.0,0.0,1.6429531e-09,0.0,0.0,0.0,0.0,0.0,0.0,-4.504131e-09,0.0,0.0,0.0,0.0,0.0,0.03802204
28800,0.03802204,0.03802204,0.03802204,0.03802204,9.919643e-09,8.792708e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022038,0.038022038,0.038022038,0.038022034,0.038022034,0.038022034,0.0,-5.4544556e-11,0.0,0.0,6.3629173e-09,0.0,0.0,0.0,0.0,0.0,0.0,-4.6705977e-09,0.0,0.0,0.0,0.0,0.0,0.03802204
32400,0.038022052,0.038022052,0.038022052,0.038022052,2.8313448e-08,3.1698897e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022026,0.038022026,0.038022026,0.038022026,0.038022026,0.038022026,0.0,2.994525e-08,0.0,0.0,-3.9928834e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.6511316e-08,0.0,0.0,0.0,0.0,0.0,0.038022052
36000,0.03802204,0.03802204,0.03802204,0.03802204,2.7268003e-09,-1.3071169e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03802204,0.03802204,0.03802204,0.03802204,0.038022038,0.03802204,0.0,1.6417003e-08,0.0,0.0,-1.4262908e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.6436374e-08,0.0,0.0,0.0,0.0,0.0,0.03802204
39600,0.03802204,0.03802204,0.03802204,0.03802204,7.5643625e-09,1.4586571e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022038,0.038022038,0.038022038,0.038022038,0.038022038,0.038022038,0.0,6.5220744e-09,0.0,0.0,4.0461975e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.820733e-09,0.0,0.0,0.0,0.0,0.0,0.03802204
43200,0.03802204,0.03802204,0.03802204,0.03802204,2.6561446e-09,3.3609098e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022038,0.038022038,0.038022038,0.038022038,0.038022038,0.038022038,0.0,5.70905e-09,0.0,0.0,3.0042389e-09,0.0,0.0,0.0,0.0,0.0,0.0,2.347537e-09,0.0,0.0,0.0,0.0,0.0,0.03802204
46800,0.03802204,0.03802204,0.03802204,0.03802204,6.422508e-10,1.3706544e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03802204,0.03802204,0.03802204,0.03802204,0.03802204,0.03802204,0.0,-1.2776879e-08,0.0,0.0,1.3596407e-08,0.0,0.0,0.0,0.0,0.0,0.0,-1.3522306e-08,0.0,0.0,0.0,0.0,0.0,0.03802204
50400,0.03802202,0.03802202,0.03802202,0.03802202,-3.880365e-08,-1.422981e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03802206,0.03802206,0.03802206,0.038022056,0.038022056,0.038022056,0.0,-3.685307e-08,0.0,0.0,-1.9965007e-08,0.0,0.0,0.0,0.0,0.0,0.0,-2.0593237e-08,0.0,0.0,0.0,0.0,0.0,0.03802202
54000,0.03802204,0.03802204,0.03802204,0.03802204,1.8062085e-09,-1.864272e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03802204,0.03802204,0.03802204,0.03802204,0.038022038,0.03802204,0.0,3.620594e-09,0.0,0.0,5.0825444e-10,0.0,0.0,0.0,0.0,0.0,0.0,-6.682955e-09,0.0,0.0,0.0,0.0,0.0,0.03802204
