,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.03810964,0.03810964,0.03810964,0.03810964,0.0051826993,0.00070413994,0.00070413994,6.536562e-05,6.536562e-05,8.283489e-06,0.0,0.0,0.0,0.0,0.0,0.03810964,0.03810964,0.03810964,0.022347583,0.032926943,0.03810964,0.010006647,0.0044785594,0.0,0.00575541,0.0,0.0,-8.283394e-06,0.00063877425,0.0,0.010579358,0.015762057,0.00505127,-0.0007041398,-5.708213e-05,-0.00575541,0.0,-8.283478e-06,0.03810964
3600,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.283489e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283424e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082136e-05,-0.0057554115,0.0,-8.283469e-06,0.038109634
7200,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.2834895e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283424e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082143e-05,-0.0057554115,0.0,-8.283469e-06,0.038109634
10800,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.2834895e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.2834e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082136e-05,-0.0057554115,0.0,-8.283485e-06,0.038109634
14400,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.283489e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283448e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082143e-05,-0.0057554115,0.0,-8.283485e-06,0.038109634
18000,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.2834895e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283408e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082143e-05,-0.0057554115,0.0,-8.283469e-06,0.038109634
21600,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.28349e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283408e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082143e-05,-0.0057554115,0.0,-8.283461e-06,0.038109634
25200,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.2834895e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283416e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082143e-05,-0.0057554115,0.0,-8.283485e-06,0.038109634
28800,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.28349e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283408e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082143e-05,-0.0057554115,0.0,-8.283469e-06,0.038109634
32400,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.283489e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283431e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082143e-05,-0.0057554115,0.0,-8.283485e-06,0.038109634
36000,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.283489e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283448e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082143e-05,-0.0057554115,0.0,-8.283469e-06,0.038109634
39600,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.2834895e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283416e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082143e-05,-0.0057554115,0.0,-8.283469e-06,0.038109634
43200,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.28349e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283386e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070413994,-5.7082136e-05,-0.0057554115,0.0,-8.283461e-06,0.038109634
46800,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.2834895e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283424e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082143e-05,-0.0057554115,0.0,-8.283478e-06,0.038109634
50400,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.283491e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.2834e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070413994,-5.7082143e-05,-0.0057554115,0.0,-8.283461e-06,0.038109634
54000,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.2834895e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283408e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082143e-05,-0.0057554115,0.0,-8.283478e-06,0.038109634
57600,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.28349e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283408e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414,-5.7082143e-05,-0.0057554115,0.0,-8.283461e-06,0.038109634
61200,0.038109634,0.038109634,0.038109634,0.038109634,0.0051826993,0.00070414005,0.00070414005,6.536563e-05,6.536563e-05,8.2834895e-06,0.0,0.0,0.0,0.0,0.0,0.038109634,0.038109634,0.038109634,0.022347583,0.032926936,0.038109634,0.010006638,0.0044785594,0.0,0.0057554115,0.0,0.0,-8.283448e-06,0.0006387744,0.0,0.010579351,0.015762052,0.0050512715,-0.00070414005,-5.7082143e-05,-0.0057554115,0.0,-8.283469e-06,0.038109634
