,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.03496209,0.03496209,0.03496209,0.03496209,0.0,0.0013747266,0.0013747266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03496208,0.03496209,0.03496209,0.03496209,0.0,0.03496209,0.0,0.024258291,-0.0013747258,0.03496208,0.0,6.179622e-11,0.0,0.010703793,0.0013747266,0.0,0.034962084,0.0,0.009329066,0.009329066,0.0,-0.010703792,-0.010703792,0.0,0.03496209
3600,0.03496209,0.03496209,0.03496209,0.03496209,0.0,0.0013747256,0.0013747256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03496208,0.03496209,0.03496209,0.03496209,0.0,0.03496209,0.0,0.024258291,-0.0013747248,0.03496208,0.0,1.906056e-09,0.0,0.010703792,0.0013747256,0.0,0.034962084,0.0,0.009329066,0.009329067,0.0,-0.010703792,-0.010703792,0.0,0.03496209
7200,0.03496209,0.03496209,0.03496209,0.03496209,0.0,0.0013747256,0.0013747256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03496208,0.03496209,0.03496209,0.03496209,0.0,0.03496209,0.0,0.024258291,-0.0013747249,0.03496208,0.0,-1.09583675e-10,0.0,0.010703792,0.0013747256,0.0,0.034962084,0.0,0.009329067,0.009329067,0.0,-0.010703792,-0.010703792,0.0,0.03496209
10800,0.034962025,0.034962025,0.034962025,0.034962025,0.0,0.0013747148,0.0013747292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034962125,0.034962136,0.034962136,0.034962136,0.0,0.034962025,0.0,0.024258312,-0.0013747141,0.034962125,0.0,-7.7493664e-11,0.0,0.01070382,0.0013747292,0.0,0.034962017,0.0,0.009328993,0.009329092,0.0,-0.01070382,-0.01070382,0.0,0.034962025
14400,0.034962084,0.034962084,0.034962084,0.034962084,0.0,0.0013747246,0.0013747261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034962088,0.034962095,0.034962095,0.034962095,0.0,0.034962084,0.0,0.024258293,-0.0013747237,0.034962088,0.0,-3.8553072e-08,0.0,0.010703796,0.0013747261,0.0,0.034962077,0.0,0.009329058,0.009329069,0.0,-0.010703796,-0.010703796,0.0,0.034962084
18000,0.03496209,0.03496209,0.03496209,0.03496209,0.0,0.0013747256,0.0013747256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03496208,0.03496209,0.03496209,0.03496209,0.0,0.03496209,0.0,0.024258291,-0.0013747249,0.03496208,0.0,1.7741138e-10,0.0,0.010703792,0.0013747256,0.0,0.034962084,0.0,0.009329067,0.009329067,0.0,-0.010703792,-0.010703792,0.0,0.03496209
21600,0.03496209,0.03496209,0.03496209,0.03496209,0.0,0.0013747256,0.0013747256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03496208,0.03496209,0.03496209,0.03496209,0.0,0.03496209,0.0,0.024258291,-0.0013747248,0.03496208,0.0,4.086937e-10,0.0,0.010703792,0.0013747256,0.0,0.034962084,0.0,0.009329066,0.009329067,0.0,-0.010703792,-0.010703792,0.0,0.03496209
25200,0.03496209,0.03496209,0.03496209,0.03496209,0.0,0.001374726,0.0013747255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03496208,0.03496209,0.03496209,0.03496209,0.0,0.03496209,0.0,0.024258291,-0.0013747251,0.03496208,0.0,-5.9024188e-08,0.0,0.010703792,0.0013747255,0.0,0.034962088,0.0,0.0093290685,0.009329066,0.0,-0.010703791,-0.010703791,0.0,0.03496209
28800,0.03496209,0.03496209,0.03496209,0.03496209,0.0,0.0013747257,0.0013747256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03496208,0.03496209,0.03496209,0.03496209,0.0,0.03496209,0.0,0.024258291,-0.0013747249,0.03496208,0.0,-1.5591949e-10,0.0,0.010703792,0.0013747256,0.0,0.034962084,0.0,0.009329067,0.009329067,0.0,-0.010703792,-0.010703792,0.0,0.03496209
32400,0.034962066,0.034962066,0.034962066,0.034962066,0.0,0.0013747216,0.0013747271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0349621,0.034962106,0.034962106,0.034962106,0.0,0.03496206,0.0,0.024258299,-0.0013747208,0.034962095,0.0,-7.14764e-11,0.0,0.010703803,0.0013747271,0.0,0.034962058,0.0,0.009329039,0.009329076,0.0,-0.010703803,-0.010703803,0.0,0.034962066
