,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.0380784,0.0380784,0.0380784,0.0380784,0.0,-3.73726e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078405,0.038078405,0.038078405,0.024526294,0.0380784,0.038078405,0.0135521125,4.319184e-09,0.0,0.0,-3.6062757e-09,0.0,0.0,0.0,0.0,0.013552105,0.0135521125,-3.06194e-09,0.0,0.0,0.0,0.0,0.0,0.0380784
3600,0.0380784,0.0380784,0.0380784,0.0380784,0.0,5.3827067e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380784,0.0380784,0.0380784,0.024526289,0.0380784,0.0380784,0.013552112,-5.291195e-09,0.0,0.0,7.3085427e-09,0.0,0.0,0.0,0.0,0.013552112,0.013552111,-4.770783e-09,0.0,0.0,0.0,0.0,0.0,0.0380784
7200,0.0380784,0.0380784,0.0380784,0.0380784,0.0,-1.7862117e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380784,0.0380784,0.0380784,0.024526289,0.0380784,0.0380784,0.013552111,1.7472198e-08,0.0,0.0,-1.8200591e-08,0.0,0.0,0.0,0.0,0.013552112,0.013552111,1.7312525e-08,0.0,0.0,0.0,0.0,0.0,0.0380784
10800,0.03807838,0.03807838,0.03807838,0.03807838,0.0,6.2337e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03807842,0.03807842,0.03807842,0.024526294,0.03807838,0.03807842,0.013552127,5.8603053e-08,0.0,0.0,8.7757746e-10,0.0,0.0,0.0,0.0,0.0135520855,0.013552127,-3.328673e-09,0.0,0.0,0.0,0.0,0.0,0.03807838
14400,0.0380784,0.0380784,0.0380784,0.0380784,0.0,1.4936672e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380784,0.0380784,0.0380784,0.024526289,0.0380784,0.0380784,0.0135521125,-3.2699945e-09,0.0,0.0,1.5722782e-09,0.0,0.0,0.0,0.0,0.01355211,0.0135521125,-6.45695e-09,0.0,0.0,0.0,0.0,0.0,0.0380784
18000,0.0380784,0.0380784,0.0380784,0.0380784,0.0,-9.319943e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380784,0.0380784,0.0380784,0.024526289,0.038078398,0.0380784,0.0135521125,1.0794748e-08,0.0,0.0,-7.191492e-09,0.0,0.0,0.0,0.0,0.01355211,0.0135521125,2.8671758e-09,0.0,0.0,0.0,0.0,0.0,0.0380784
21600,0.038078405,0.038078405,0.038078405,0.038078405,0.0,-3.3484056e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078398,0.038078398,0.038078398,0.024526289,0.038078405,0.038078398,0.013552109,4.344634e-09,0.0,0.0,-6.68643e-09,0.0,0.0,0.0,0.0,0.013552115,0.013552109,6.3908017e-09,0.0,0.0,0.0,0.0,0.0,0.038078405
25200,0.038078398,0.038078398,0.038078398,0.038078398,0.0,-4.8131397e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078405,0.038078405,0.038078405,0.024526289,0.038078398,0.038078405,0.0135521125,4.969261e-09,0.0,0.0,-3.6127141e-09,0.0,0.0,0.0,0.0,0.013552108,0.0135521125,3.6573737e-09,0.0,0.0,0.0,0.0,0.0,0.038078398
28800,0.038078405,0.038078405,0.038078405,0.038078405,0.0,8.829009e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078394,0.038078394,0.038078394,0.024526287,0.038078405,0.03807839,0.013552105,6.319707e-11,0.0,0.0,8.511002e-09,0.0,0.0,0.0,0.0,0.013552121,0.013552105,7.042021e-09,0.0,0.0,0.0,0.0,0.0,0.038078405
32400,0.038078394,0.038078394,0.038078394,0.038078394,0.0,-2.3412157e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078405,0.038078405,0.038078405,0.02452629,0.038078394,0.038078405,0.013552116,2.963964e-09,0.0,0.0,2.5031166e-09,0.0,0.0,0.0,0.0,0.013552104,0.013552116,-7.3056965e-09,0.0,0.0,0.0,0.0,0.0,0.038078394
36000,0.038078405,0.038078405,0.038078405,0.038078405,0.0,2.2348439e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078398,0.038078398,0.038078398,0.024526287,0.038078405,0.038078398,0.013552108,1.258581e-08,0.0,0.0,1.2919761e-08,0.0,0.0,0.0,0.0,0.013552117,0.013552107,1.6488242e-08,0.0,0.0,0.0,0.0,0.0,0.038078405
39600,0.038078405,0.038078405,0.038078405,0.038078405,0.0,7.0367223e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078398,0.038078398,0.038078398,0.024526289,0.038078405,0.038078398,0.01355211,-6.0081957e-09,0.0,0.0,1.009615e-08,0.0,0.0,0.0,0.0,0.013552114,0.01355211,-3.8064503e-09,0.0,0.0,0.0,0.0,0.0,0.038078405
43200,0.0380784,0.0380784,0.0380784,0.0380784,0.0,2.7553263e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380784,0.0380784,0.0380784,0.024526289,0.0380784,0.0380784,0.013552112,-2.6611165e-08,0.0,0.0,2.7043704e-08,0.0,0.0,0.0,0.0,0.013552111,0.013552112,-2.868172e-08,0.0,0.0,0.0,0.0,0.0,0.0380784
46800,0.0380784,0.0380784,0.0380784,0.0380784,0.0,-1.4427774e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380784,0.0380784,0.0380784,0.024526289,0.0380784,0.0380784,0.013552112,1.4465984e-08,0.0,0.0,-1.511846e-08,0.0,0.0,0.0,0.0,0.013552111,0.013552112,1.3367812e-08,0.0,0.0,0.0,0.0,0.0,0.0380784
50400,0.038078405,0.038078405,0.038078405,0.038078405,0.0,2.0474615e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078398,0.038078398,0.038078398,0.024526287,0.038078405,0.038078394,0.013552107,-2.058567e-08,0.0,0.0,-3.1060674e-09,0.0,0.0,0.0,0.0,0.013552118,0.013552107,3.7908237e-09,0.0,0.0,0.0,0.0,0.0,0.038078405
54000,0.038078405,0.038078405,0.038078405,0.038078405,0.0,6.9400707e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078398,0.038078398,0.038078398,0.024526289,0.038078405,0.038078398,0.013552109,-1.0357617e-08,0.0,0.0,4.0392445e-09,0.0,0.0,0.0,0.0,0.013552115,0.013552109,-5.1648614e-09,0.0,0.0,0.0,0.0,0.0,0.038078405
57600,0.038078405,0.038078405,0.038078405,0.038078405,0.0,-5.304577e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078394,0.038078394,0.038078394,0.024526287,0.038078405,0.038078394,0.013552107,4.7790575e-08,0.0,0.0,-5.35338e-08,0.0,0.0,0.0,0.0,0.013552119,0.013552106,5.4605668e-08,0.0,0.0,0.0,0.0,0.0,0.038078405
61200,0.038078405,0.038078405,0.038078405,0.038078405,0.0,-5.1360662e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078398,0.038078398,0.038078398,0.024526289,0.0380784,0.038078398,0.01355211,9.586343e-09,0.0,0.0,-7.514533e-09,0.0,0.0,0.0,0.0,0.0135521125,0.01355211,1.5565764e-08,0.0,0.0,0.0,0.0,0.0,0.038078405
64800,0.038078405,0.038078405,0.038078405,0.038078405,0.0,-1.8374929e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078394,0.038078394,0.038078394,0.024526287,0.038078405,0.038078394,0.013552105,-2.8269178e-09,0.0,0.0,-2.5306914e-09,0.0,0.0,0.0,0.0,0.01355212,0.013552105,1.6616937e-08,0.0,0.0,0.0,0.0,0.0,0.038078405
68400,0.038078405,0.038078405,0.038078405,0.038078405,0.0,4.7530806e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078398,0.038078398,0.038078398,0.024526289,0.038078405,0.038078398,0.013552109,-7.7202165e-09,0.0,0.0,3.2146426e-09,0.0,0.0,0.0,0.0,0.013552115,0.013552109,2.7802332e-11,0.0,0.0,0.0,0.0,0.0,0.038078405
72000,0.038078386,0.038078386,0.038078386,0.038078386,0.0,-4.3316717e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078412,0.038078412,0.038078412,0.024526292,0.038078386,0.038078412,0.013552123,2.754044e-09,0.0,0.0,-2.0438701e-08,0.0,0.0,0.0,0.0,0.013552094,0.013552123,-2.3100158e-08,0.0,0.0,0.0,0.0,0.0,0.038078386
75600,0.0380784,0.0380784,0.0380784,0.0380784,0.0,-4.9178004e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380784,0.0380784,0.0380784,0.024526289,0.0380784,0.0380784,0.013552112,7.248422e-09,0.0,0.0,-2.0384263e-09,0.0,0.0,0.0,0.0,0.013552111,0.013552112,7.482929e-09,0.0,0.0,0.0,0.0,0.0,0.0380784
79200,0.038078405,0.038078405,0.038078405,0.038078405,0.0,1.386362e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038078394,0.038078394,0.038078394,0.024526287,0.038078405,0.038078394,0.013552107,-2.3800803e-08,0.0,0.0,-4.928866e-10,0.0,0.0,0.0,0.0,0.013552119,0.013552106,1.11856675e-08,0.0,0.0,0.0,0.0,0.0,0.038078405
82800,0.03807839,0.03807839,0.03807839,0.03807839,0.0,-4.7837863e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03807841,0.03807841,0.03807841,0.02452629,0.03807839,0.03807841,0.01355212,4.5665542e-09,0.0,0.0,-4.548507e-09,0.0,0.0,0.0,0.0,0.013552099,0.01355212,-1.1303157e-09,0.0,0.0,0.0,0.0,0.0,0.03807839
86400,0.038078424,0.038078424,0.038078424,0.038078424,0.0,5.07548e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03807838,0.03807838,0.03807838,0.024526283,0.038078424,0.03807838,0.013552093,-1.7852154e-08,0.0,0.0,1.2005705e-09,0.0,0.0,0.0,0.0,0.0135521395,0.013552092,-8.906893e-10,0.0,0.0,0.0,0.0,0.0,0.038078424
