,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.034923073,0.034923073,0.034923073,0.034923073,0.0,0.0,-3.9430215e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03492306,0.03492308,0.03492308,0.03492308,0.03492307,0.03492307,0.0,0.0,0.0,0.03492306,5.7940466e-09,3.419618e-09,0.0,0.0,1.2277294e-09,0.0,0.0,-0.034923054,0.0,-5.22269e-09,0.0,-4.927785e-09,0.0,0.0,0.034923073
3600,0.034923114,0.034923114,0.034923114,0.034923114,0.0,0.0,8.371787e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034923032,0.034923047,0.034923047,0.034923047,0.03492311,0.034923114,0.0,0.0,0.0,0.034923032,-6.1783815e-08,-1.6939838e-08,0.0,0.0,-1.2877005e-07,0.0,0.0,-0.0349231,0.0,8.6088264e-08,0.0,6.474058e-08,0.0,0.0,0.034923114
7200,0.03492309,0.03492309,0.03492309,0.03492309,0.0,0.0,-1.2774719e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03492305,0.03492306,0.03492306,0.03492306,0.03492309,0.03492309,0.0,0.0,0.0,0.03492305,1.2877005e-07,1.3085666e-08,0.0,0.0,-3.644478e-08,0.0,0.0,-0.03492308,0.0,-5.68414e-08,0.0,2.6296716e-08,0.0,0.0,0.03492309
10800,0.034923073,0.034923073,0.034923073,0.034923073,0.0,0.0,-9.0969937e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03492306,0.03492308,0.03492308,0.03492308,0.03492307,0.034923073,0.0,0.0,0.0,0.03492306,6.10004e-09,4.8124034e-09,0.0,0.0,-3.1008767e-09,0.0,0.0,-0.034923054,0.0,-6.872464e-09,0.0,-6.0337824e-09,0.0,0.0,0.034923073
14400,0.034923065,0.034923065,0.034923065,0.034923065,0.0,0.0,-1.2786423e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03492307,0.034923084,0.034923084,0.034923084,0.034923065,0.034923065,0.0,0.0,0.0,0.034923065,2.2911695e-09,1.4627995e-08,0.0,0.0,-1.4650556e-08,0.0,0.0,-0.03492305,0.0,1.3512486e-08,0.0,-6.5959482e-09,0.0,0.0,0.034923065
18000,0.034922935,0.034922935,0.034922935,0.034922935,0.0,0.0,3.0616332e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034923166,0.034923185,0.034923185,0.034923185,0.03492293,0.03492293,0.0,0.0,0.0,0.034923166,2.3419402e-07,2.575401e-07,0.0,0.0,-3.944037e-09,0.0,0.0,-0.034922916,0.0,2.5087319e-08,0.0,-2.4837715e-07,0.0,0.0,0.034922935
21600,0.034923047,0.034923047,0.034923047,0.034923047,0.0,0.0,4.1914476e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034923084,0.0349231,0.0349231,0.0349231,0.034923047,0.034923047,0.0,0.0,0.0,0.034923084,4.932058e-08,-6.5571157e-09,0.0,0.0,-5.892315e-10,0.0,0.0,-0.034923032,0.0,-2.7873137e-08,0.0,-4.9307886e-08,0.0,0.0,0.034923047
25200,0.03492308,0.03492308,0.03492308,0.03492308,0.0,0.0,-2.1860627e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034923054,0.03492307,0.03492307,0.03492307,0.03492308,0.03492308,0.0,0.0,0.0,0.034923054,-6.5601173e-09,1.1632771e-09,0.0,0.0,-1.9748547e-09,0.0,0.0,-0.034923065,0.0,1.6497743e-09,0.0,3.269699e-09,0.0,0.0,0.03492308
28800,0.034923065,0.034923065,0.034923065,0.034923065,0.0,0.0,-1.3684083e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03492307,0.034923084,0.034923084,0.034923084,0.034923065,0.034923065,0.0,0.0,0.0,0.034923065,1.0840908e-08,6.3989165e-09,0.0,0.0,-1.241234e-08,0.0,0.0,-0.03492305,0.0,-3.5951023e-10,0.0,-1.5409334e-08,0.0,0.0,0.034923065
32400,0.03492308,0.03492308,0.03492308,0.03492308,0.0,0.0,-1.3120008e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034923058,0.034923073,0.034923073,0.034923073,0.03492308,0.03492308,0.0,0.0,0.0,0.034923058,-1.2129847e-08,1.38055265e-08,0.0,0.0,-1.3007529e-08,0.0,0.0,-0.03492306,0.0,1.5929487e-08,0.0,9.686165e-09,0.0,0.0,0.03492308
36000,0.03492308,0.03492308,0.03492308,0.03492308,0.0,0.0,-5.9629808e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03492306,0.03492308,0.03492308,0.03492308,0.034923073,0.03492308,0.0,0.0,0.0,0.03492306,-4.4604104e-10,4.7019046e-09,0.0,0.0,-5.9315006e-09,0.0,0.0,-0.034923058,0.0,1.05163345e-08,0.0,-1.0821556e-09,0.0,0.0,0.03492308
39600,0.034923024,0.034923024,0.034923024,0.034923024,0.0,0.0,7.0196454e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034923103,0.034923114,0.034923114,0.034923114,0.034923024,0.034923024,0.0,0.0,0.0,0.034923103,9.622698e-08,-3.1438456e-09,0.0,0.0,9.09208e-10,0.0,0.0,-0.03492301,0.0,-5.7712104e-08,0.0,-9.538297e-08,0.0,0.0,0.034923024
43200,0.034923024,0.034923024,0.034923024,0.034923024,0.0,0.0,-4.0416985e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034923106,0.034923118,0.034923118,0.034923118,0.03492302,0.034923024,0.0,0.0,0.0,0.034923106,8.2897735e-08,-7.289107e-10,0.0,0.0,4.5039034e-08,0.0,0.0,-0.034923006,0.0,-5.121435e-08,0.0,-8.785472e-08,0.0,0.0,0.034923024
