,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.03810714,0.03810714,0.03810714,0.03810714,0.0,0.0,9.913717e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0019404338,0.005172347,0.03810714,0.03810714,0.03810714,0.023116445,0.03810714,0.032934792,0.013050263,0.0,0.0032319135,0.0019404338,-8.440871e-09,0.0019404338,0.0,8.14727e-09,0.0,0.014990697,0.00981835,0.0019404341,-8.2326785e-09,0.0,0.0,0.0,0.0,0.03810714
3600,0.03810714,0.03810714,0.03810714,0.03810714,0.0,0.0,2.6075597e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0019404338,0.005172347,0.03810714,0.03810714,0.03810714,0.023116445,0.03810714,0.032934792,0.013050263,0.0,0.0032319135,0.0019404338,-2.5421317e-08,0.0019404338,0.0,2.727391e-08,0.0,0.014990699,0.00981835,0.0019404349,-2.5022713e-08,0.0,0.0,0.0,0.0,0.03810714
7200,0.03810714,0.03810714,0.03810714,0.03810714,0.0,0.0,1.7545936e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0019404339,0.005172347,0.03810714,0.03810714,0.03810714,0.023116445,0.038107138,0.032934796,0.013050264,0.0,0.0032319135,0.0019404339,-2.156873e-08,0.0019404339,0.0,1.6821893e-08,0.0,0.014990697,0.009818351,0.0019404321,-1.6202803e-08,0.0,0.0,0.0,0.0,0.03810714
10800,0.038107146,0.038107146,0.038107146,0.038107146,0.0,0.0,-1.2952142e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0019404333,0.0051723467,0.038107138,0.038107138,0.038107138,0.023116445,0.038107146,0.032934792,0.013050261,0.0,0.0032319135,0.0019404333,1.0592132e-09,0.0019404333,0.0,-1.0205641e-09,0.0,0.0149907,0.009818348,0.0019404405,1.5284939e-09,0.0,0.0,0.0,0.0,0.038107146
14400,0.03810715,0.03810715,0.03810715,0.03810715,0.0,0.0,-1.424304e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0019404327,0.0051723463,0.038107134,0.038107134,0.038107134,0.023116445,0.03810715,0.03293479,0.013050258,0.0,0.0032319135,0.0019404327,2.1326088e-08,0.0019404327,0.0,-8.3336377e-10,0.0,0.014990705,0.009818345,0.0019404476,-1.875767e-09,0.0,0.0,0.0,0.0,0.03810715
18000,0.03810714,0.03810714,0.03810714,0.03810714,0.0,0.0,-9.3804156e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0019404338,0.005172347,0.03810714,0.03810714,0.03810714,0.023116445,0.03810714,0.032934792,0.013050263,0.0,0.0032319135,0.0019404338,9.248437e-09,0.0019404338,0.0,-1.0690313e-08,0.0,0.014990697,0.00981835,0.0019404346,1.3341989e-08,0.0,0.0,0.0,0.0,0.03810714
21600,0.03810714,0.03810714,0.03810714,0.03810714,0.0,0.0,-2.1228053e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0019404338,0.005172347,0.038107138,0.038107138,0.038107138,0.023116445,0.03810714,0.032934792,0.013050263,0.0,0.0032319135,0.0019404338,1.6171995e-08,0.0019404335,0.0,-2.3457525e-09,0.0,0.014990699,0.00981835,0.0019404355,4.8392717e-09,0.0,0.0,0.0,0.0,0.03810714
25200,0.038107138,0.038107138,0.038107138,0.038107138,0.0,0.0,3.0914415e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0019404341,0.0051723476,0.038107146,0.038107146,0.038107146,0.023116445,0.038107138,0.032934796,0.013050266,0.0,0.0032319135,0.0019404343,-2.262586e-09,0.0019404341,0.0,8.809083e-11,0.0,0.014990694,0.009818353,0.0019404285,-2.0377142e-09,0.0,0.0,0.0,0.0,0.038107138
28800,0.038107134,0.038107134,0.038107134,0.038107134,0.0,0.0,-6.4134835e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0019404349,0.0051723486,0.03810715,0.03810715,0.03810715,0.023116447,0.038107134,0.0329348,0.013050269,0.0,0.0032319135,0.0019404349,1.1650061e-08,0.0019404349,0.0,-2.2454648e-10,0.0,0.014990689,0.009818356,0.00194042,-2.9274183e-09,0.0,0.0,0.0,0.0,0.038107134
32400,0.03810714,0.03810714,0.03810714,0.03810714,0.0,0.0,-4.9423465e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0019404338,0.005172347,0.03810714,0.03810714,0.03810714,0.023116445,0.03810714,0.032934792,0.013050263,0.0,0.0032319135,0.0019404338,4.96672e-09,0.0019404338,0.0,-2.6249312e-09,0.0,0.014990697,0.00981835,0.0019404346,9.355616e-10,0.0,0.0,0.0,0.0,0.03810714
