,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.037954655,0.037954655,0.037954655,0.037954655,0.006696963,0.0,-2.2938846e-09,0.0,0.0,0.0,0.0024977943,0.0024977943,0.0024977946,0.0024977948,0.0067469096,0.037954632,0.037954632,0.037954632,0.0,0.03125769,0.031207724,0.035456836,0.006696963,0.004249114,0.0024977955,2.3299895e-09,0.0,0.0,-1.0011267e-08,0.0,0.03125769,0.031207722,0.002497818,2.1581847e-08,0.0,0.0,0.0024977946,0.0024977943,0.037954655
3600,0.037954643,0.037954643,0.037954643,0.037954643,0.0066969614,0.0,4.391533e-09,0.0,0.0,0.0,0.0024977957,0.0024977957,0.002497796,0.002497796,0.0067469114,0.037954643,0.037954643,0.037954643,0.0,0.03125768,0.031207735,0.035456847,0.0066969614,0.0042491155,0.0024977964,-8.868816e-09,0.0,0.0,-3.3640293e-10,0.0,0.03125768,0.031207731,0.0024977936,-3.1941205e-09,0.0,0.0,0.0024977957,0.0024977957,0.037954643
7200,0.03795464,0.03795464,0.03795464,0.03795464,0.0066969614,0.0,1.6862193e-08,0.0,0.0,0.0,0.0024977957,0.0024977957,0.002497796,0.002497796,0.0067469114,0.037954643,0.037954643,0.037954643,0.0,0.03125768,0.031207735,0.035456847,0.0066969614,0.0042491155,0.0024977964,-1.684738e-08,0.0,0.0,1.5404082e-08,0.0,0.03125768,0.031207731,0.0024977927,-1.583893e-08,0.0,0.0,0.002497796,0.0024977957,0.03795464
10800,0.037954643,0.037954643,0.037954643,0.037954643,0.0066969614,0.0,-5.928624e-09,0.0,0.0,0.0,0.0024977953,0.0024977953,0.0024977955,0.002497796,0.006746911,0.03795464,0.03795464,0.03795464,0.0,0.03125768,0.031207731,0.035456844,0.0066969614,0.004249115,0.0024977962,1.4935392e-09,0.0,0.0,-3.476927e-09,0.0,0.03125768,0.031207731,0.0024977995,3.64418e-09,0.0,0.0,0.0024977955,0.0024977953,0.037954643
14400,0.037954647,0.037954647,0.037954647,0.037954647,0.006696962,0.0,7.7877225e-09,0.0,0.0,0.0,0.0024977953,0.0024977953,0.0024977955,0.0024977957,0.006746911,0.03795464,0.03795464,0.03795464,0.0,0.03125768,0.031207727,0.035456844,0.006696962,0.0042491145,0.002497796,-7.709072e-09,0.0,0.0,3.944851e-09,0.0,0.03125768,0.031207727,0.0024978032,8.8155694e-10,0.0,0.0,0.0024977955,0.0024977953,0.037954647
18000,0.037954565,0.037954565,0.037954565,0.037954565,0.006696948,0.0,-2.016152e-08,0.0,0.0,0.0,0.002497801,0.002497801,0.0024978013,0.0024978016,0.0067469245,0.037954714,0.037954714,0.037954714,0.0,0.03125762,0.03120779,0.03545691,0.006696948,0.004249123,0.0024978023,1.757934e-08,0.0,0.0,6.257278e-11,0.0,0.03125762,0.03120779,0.0024976516,-1.3686534e-07,0.0,0.0,0.0024978013,0.002497801,0.037954565
21600,0.037954655,0.037954655,0.037954655,0.037954655,0.006696963,0.0,3.0842497e-09,0.0,0.0,0.0,0.0024977943,0.0024977943,0.0024977946,0.0024977948,0.0067469096,0.037954632,0.037954632,0.037954632,0.0,0.03125769,0.031207724,0.035456836,0.006696963,0.004249114,0.0024977955,-9.479231e-09,0.0,0.0,4.6538506e-09,0.0,0.03125769,0.031207722,0.002497817,-9.113412e-09,0.0,0.0,0.0024977946,0.0024977943,0.037954655
25200,0.037954643,0.037954643,0.037954643,0.037954643,0.0066969614,0.0,5.2747087e-09,0.0,0.0,0.0,0.0024977957,0.0024977957,0.002497796,0.002497796,0.0067469114,0.037954643,0.037954643,0.037954643,0.0,0.03125768,0.031207735,0.035456847,0.0066969614,0.0042491155,0.0024977964,-4.6377906e-09,0.0,0.0,2.9366227e-09,0.0,0.03125768,0.031207731,0.0024977936,-6.4432326e-09,0.0,0.0,0.0024977957,0.0024977957,0.037954643
28800,0.03795469,0.03795469,0.03795469,0.03795469,0.00669697,0.0,-1.5556335e-09,0.0,0.0,0.0,0.0024977913,0.0024977913,0.0024977915,0.002497792,0.006746902,0.03795459,0.03795459,0.03795459,0.0,0.031257723,0.03120769,0.035456795,0.00669697,0.0042491104,0.0024977922,-2.983416e-10,0.0,0.0,-2.1820737e-10,0.0,0.031257723,0.03120769,0.002497894,5.9997404e-08,0.0,0.0,0.0024977915,0.0024977913,0.03795469
32400,0.037954643,0.037954643,0.037954643,0.037954643,0.0066969614,0.0,5.5254903e-09,0.0,0.0,0.0,0.0024977955,0.0024977955,0.0024977957,0.002497796,0.006746911,0.037954643,0.037954643,0.037954643,0.0,0.03125768,0.031207731,0.035456847,0.0066969614,0.004249115,0.0024977962,-5.3803997e-09,0.0,0.0,3.9662886e-09,0.0,0.03125768,0.031207731,0.0024977985,-4.0372865e-09,0.0,0.0,0.0024977957,0.0024977955,0.037954643
