,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.032464664,0.032464664,0.032464664,0.032464664,0.0041140984,0.0,-4.184768e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.032464627,0.03246464,0.032464664,0.032464664,0.032464664,0.032464664,0.028350567,0.0,0.0,0.0041140984,0.0,0.0,5.0043023e-09,0.032464627,0.0,1.4901346e-09,0.0,-0.004114097,-0.03246464,1.4659853e-09,-4.4784283e-09,0.0,0.032464623,0.0,0.0,0.032464664
3600,0.03246467,0.03246467,0.03246467,0.03246467,0.004114099,0.0,3.470554e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.032464623,0.03246464,0.032464664,0.032464664,0.032464664,0.03246466,0.028350567,0.0,0.0,0.004114099,0.0,0.0,1.0004464e-09,0.032464623,0.0,1.6848491e-09,0.0,-0.0041140923,-0.032464635,1.4109333e-09,7.708127e-10,0.0,0.032464623,0.0,0.0,0.03246467
7200,0.032464676,0.032464676,0.032464676,0.032464676,0.0041141002,0.0,1.6305592e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.03246462,0.03246463,0.03246466,0.03246466,0.03246466,0.032464657,0.028350573,0.0,0.0,0.0041141002,0.0,0.0,-2.724885e-08,0.03246462,0.0,2.9441427e-09,0.0,-0.0041140807,-0.03246463,2.0450797e-08,4.0410608e-08,0.0,0.03246462,0.0,0.0,0.032464676
10800,0.032464683,0.032464683,0.032464683,0.032464683,0.004114101,0.0,-3.8434007e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.03246462,0.032464627,0.032464653,0.032464653,0.032464653,0.032464653,0.02835058,0.0,0.0,0.004114101,0.0,0.0,4.061058e-09,0.03246462,0.0,-1.8798817e-08,0.0,-0.004114071,-0.032464623,2.9144779e-08,-3.6645845e-10,0.0,0.032464616,0.0,0.0,0.032464683
14400,0.03246466,0.03246466,0.03246466,0.03246466,0.004114098,0.0,1.0857074e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.032464627,0.032464646,0.03246467,0.03246467,0.03246467,0.032464664,0.028350564,0.0,0.0,0.004114098,0.0,0.0,-9.332393e-09,0.032464627,0.0,8.897131e-09,0.0,-0.004114101,-0.03246464,-3.6301209e-09,-8.86272e-09,0.0,0.032464627,0.0,0.0,0.03246466
18000,0.03246469,0.03246469,0.03246469,0.03246469,0.0041141026,0.0,3.5818228e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.032464612,0.032464623,0.03246465,0.03246465,0.03246465,0.03246465,0.028350586,0.0,0.0,0.0041141026,0.0,0.0,-4.1669573e-10,0.032464612,0.0,3.6214742e-10,0.0,-0.0041140597,-0.03246462,4.011531e-08,2.0946013e-08,0.0,0.032464612,0.0,0.0,0.03246469
21600,0.03246467,0.03246467,0.03246467,0.03246467,0.004114099,0.0,3.379605e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.032464623,0.03246464,0.032464664,0.032464664,0.032464664,0.03246466,0.028350567,0.0,0.0,0.004114099,0.0,0.0,-4.696086e-09,0.032464623,0.0,1.9227813e-09,0.0,-0.004114093,-0.032464635,3.2732772e-10,-2.902003e-09,0.0,0.032464623,0.0,0.0,0.03246467
25200,0.03246469,0.03246469,0.03246469,0.03246469,0.004114103,0.0,2.5364457e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.032464612,0.032464623,0.03246465,0.03246465,0.03246465,0.03246465,0.028350586,0.0,0.0,0.004114103,0.0,0.0,-1.480603e-09,0.032464612,0.0,-2.1577706e-09,0.0,-0.004114059,-0.03246462,4.116964e-08,1.9152829e-08,0.0,0.032464612,0.0,0.0,0.03246469
28800,0.032464657,0.032464657,0.032464657,0.032464657,0.0041140974,0.0,-3.426809e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.03246463,0.03246465,0.032464672,0.032464672,0.032464672,0.03246467,0.02835056,0.0,0.0,0.0041140974,0.0,0.0,1.5702813e-09,0.03246463,0.0,-3.5358731e-09,0.0,-0.004114108,-0.032464646,-1.1542961e-08,1.49574e-09,0.0,0.03246463,0.0,0.0,0.032464657
32400,0.032464594,0.032464594,0.032464594,0.032464594,0.004114087,0.0,-8.053439e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.032464672,0.03246468,0.0324647,0.0324647,0.0324647,0.0324647,0.02835051,0.0,0.0,0.004114087,0.0,0.0,1.3632118e-08,0.03246467,0.0,-2.5793337e-08,0.0,-0.004114194,-0.032464676,-1.0971792e-07,-9.8223424e-08,0.0,0.03246467,0.0,0.0,0.032464594
36000,0.032464683,0.032464683,0.032464683,0.032464683,0.0041141016,0.0,-9.588053e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.032464616,0.032464627,0.032464653,0.032464653,0.032464653,0.03246465,0.028350582,0.0,0.0,0.0041141016,0.0,0.0,-2.2343443e-09,0.032464616,0.0,-7.773949e-09,0.0,-0.0041140686,-0.032464623,2.7339416e-08,2.0692072e-08,0.0,0.032464616,0.0,0.0,0.032464683
39600,0.03246467,0.03246467,0.03246467,0.03246467,0.004114099,0.0,8.437932e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.032464627,0.03246464,0.032464664,0.032464664,0.032464664,0.03246466,0.028350567,0.0,0.0,0.004114099,0.0,0.0,-1.3317763e-08,0.032464623,0.0,-1.0424782e-09,0.0,-0.0041140947,-0.032464635,7.977775e-09,6.3701755e-09,0.0,0.032464623,0.0,0.0,0.03246467
43200,0.03246467,0.03246467,0.03246467,0.03246467,0.004114099,0.0,-2.4792186e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.032464623,0.03246464,0.032464664,0.032464664,0.032464664,0.03246466,0.028350567,0.0,0.0,0.004114099,0.0,0.0,9.82299e-09,0.032464623,0.0,-6.382468e-09,0.0,-0.0041140937,-0.032464635,9.521976e-09,9.251698e-09,0.0,0.032464623,0.0,0.0,0.03246467
46800,0.032464676,0.032464676,0.032464676,0.032464676,0.0041141002,0.0,-1.2067147e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.03246462,0.03246463,0.03246466,0.03246466,0.03246466,0.032464657,0.028350573,0.0,0.0,0.0041141002,0.0,0.0,-4.5557357e-08,0.03246462,0.0,1.5128145e-07,0.0,-0.0041140807,-0.03246463,2.2689651e-08,-5.7129522e-08,0.0,0.03246462,0.0,0.0,0.032464676
50400,0.032464664,0.032464664,0.032464664,0.032464664,0.004114098,0.0,-3.6920837e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.032464627,0.032464646,0.03246467,0.03246467,0.03246467,0.032464664,0.028350564,0.0,0.0,0.004114098,0.0,0.0,4.381693e-09,0.032464627,0.0,-9.572068e-10,0.0,-0.0041140993,-0.03246464,2.874641e-11,3.101812e-09,0.0,0.032464627,0.0,0.0,0.032464664
54000,0.032464623,0.032464623,0.032464623,0.032464623,0.0041140923,0.0,-1.1219675e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.032464653,0.032464664,0.032464687,0.032464687,0.032464687,0.032464683,0.028350532,0.0,0.0,0.0041140923,0.0,0.0,1.0967024e-09,0.03246465,0.0,8.724926e-09,0.0,-0.0041141524,-0.03246466,-6.154761e-08,-1.1711569e-26,0.0,0.03246465,0.0,0.0,0.032464623
57600,0.032464676,0.032464676,0.032464676,0.032464676,0.0041141002,0.0,7.8498696e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.03246462,0.032464635,0.03246466,0.03246466,0.03246466,0.032464657,0.028350573,0.0,0.0,0.0041141002,0.0,0.0,-1.6670056e-09,0.03246462,0.0,-9.641968e-09,0.0,-0.004114084,-0.03246463,1.6978545e-08,9.539096e-09,0.0,0.03246462,0.0,0.0,0.032464676
