,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.034758784,0.034758784,0.034758784,0.034758784,0.0062055797,0.004474656,0.0,0.0,0.0,0.0,-1.688052e-10,-2.5826767e-09,-1.2333352e-08,0.034758724,0.007409757,0.034758773,0.034758773,0.034758773,0.0,0.028553206,0.027349014,0.0,0.001730923,-0.027348971,0.034758754,0.004474656,0.034758743,0.0,0.0,-1.4599447e-08,0.028553188,0.027348999,0.030284097,0.0,0.0,0.0,0.0,-1.4328057e-10,0.034758784
3600,0.034758776,0.034758776,0.034758776,0.034758776,0.0062055774,0.0044746553,0.0,0.0,0.0,0.0,8.506361e-09,8.441987e-09,1.6017353e-09,0.034758735,0.007409758,0.03475878,0.03475878,0.03475878,0.0,0.028553197,0.027349018,0.0,0.0017309224,-0.027348977,0.034758747,0.0044746553,0.034758728,0.0,0.0,-6.806368e-09,0.028553182,0.027349005,0.030284092,0.0,0.0,0.0,0.0,9.999285e-09,0.034758776
7200,0.034758773,0.034758773,0.034758773,0.034758773,0.006205577,0.0044746553,0.0,0.0,0.0,0.0,2.277672e-09,1.8909951e-09,8.374589e-09,0.03475874,0.0074097584,0.03475878,0.03475878,0.03475878,0.0,0.028553195,0.02734902,0.0,0.0017309221,-0.027348978,0.034758743,0.004474655,0.034758724,0.0,0.0,4.5691156e-11,0.028553179,0.027349005,0.030284086,0.0,0.0,0.0,0.0,-1.25909905e-08,0.034758773
10800,0.034758776,0.034758776,0.034758776,0.034758776,0.0062055774,0.0044746553,0.0,0.0,0.0,0.0,-5.5440434e-09,-5.419375e-09,1.7071702e-09,0.034758735,0.007409758,0.03475878,0.03475878,0.03475878,0.0,0.028553197,0.027349018,0.0,0.0017309224,-0.027348977,0.034758747,0.0044746553,0.034758728,0.0,0.0,7.237763e-09,0.028553182,0.027349005,0.030284092,0.0,0.0,0.0,0.0,-6.538278e-09,0.034758776
14400,0.03475878,0.03475878,0.03475878,0.03475878,0.0062055783,0.0044746557,0.0,0.0,0.0,0.0,5.674944e-09,1.7686304e-09,-5.8684795e-09,0.034758728,0.007409757,0.034758776,0.034758776,0.034758776,0.0,0.028553203,0.027349016,0.0,0.0017309227,-0.027348975,0.034758754,0.0044746553,0.03475874,0.0,0.0,-5.035464e-09,0.028553184,0.027349003,0.030284094,0.0,0.0,0.0,0.0,8.453052e-09,0.03475878
18000,0.03475878,0.03475878,0.03475878,0.03475878,0.006205578,0.0044746553,0.0,0.0,0.0,0.0,-5.909175e-09,-6.1845795e-09,-8.829013e-10,0.034758728,0.007409758,0.034758776,0.034758776,0.034758776,0.0,0.028553197,0.027349018,0.0,0.0017309224,-0.027348977,0.03475875,0.0044746553,0.034758735,0.0,0.0,7.882934e-09,0.028553184,0.027349005,0.030284094,0.0,0.0,0.0,0.0,-5.3542952e-09,0.03475878
21600,0.03475878,0.03475878,0.03475878,0.03475878,0.006205578,0.0044746557,0.0,0.0,0.0,0.0,-2.8000922e-09,-2.6437161e-09,-3.0616445e-09,0.034758728,0.007409758,0.034758776,0.034758776,0.034758776,0.0,0.028553197,0.027349018,0.0,0.0017309225,-0.027348977,0.03475875,0.0044746553,0.034758735,0.0,0.0,1.9343464e-10,0.028553184,0.027349003,0.030284094,0.0,0.0,0.0,0.0,-4.3570143e-09,0.03475878
25200,0.03475877,0.03475877,0.03475877,0.03475877,0.0062055765,0.004474655,0.0,0.0,0.0,0.0,-4.3977813e-10,5.2195875e-10,1.3948594e-08,0.03475874,0.0074097593,0.03475878,0.03475878,0.03475878,0.0,0.028553192,0.027349021,0.0,0.001730922,-0.02734898,0.03475874,0.0044746543,0.034758724,0.0,0.0,-9.615774e-09,0.028553179,0.027349008,0.030284086,0.0,0.0,0.0,0.0,-1.2577509e-08,0.03475877
28800,0.034758754,0.034758754,0.034758754,0.034758754,0.0062055737,0.0044746525,0.0,0.0,0.0,0.0,-7.365181e-10,2.3993202e-10,3.86324e-08,0.034758754,0.007409761,0.03475879,0.03475879,0.03475879,0.0,0.028553182,0.027349032,0.0,0.0017309213,-0.02734899,0.034758724,0.0044746525,0.03475871,0.0,0.0,-4.207331e-08,0.028553165,0.027349018,0.030284073,0.0,0.0,0.0,0.0,3.289701e-08,0.034758754
32400,0.03475878,0.03475878,0.03475878,0.03475878,0.0062055774,0.0044746553,0.0,0.0,0.0,0.0,-8.343365e-08,-8.3735856e-08,4.8498117e-10,0.034758735,0.007409758,0.034758776,0.034758776,0.034758776,0.0,0.028553197,0.027349018,0.0,0.0017309224,-0.027348977,0.03475875,0.0044746553,0.034758735,0.0,0.0,8.475544e-08,0.028553184,0.027349005,0.030284094,0.0,0.0,0.0,0.0,-8.354855e-08,0.03475878
36000,0.03475878,0.03475878,0.03475878,0.03475878,0.0062055783,0.0044746557,0.0,0.0,0.0,0.0,-2.5793276e-09,-2.286615e-09,-5.063072e-09,0.034758728,0.007409758,0.034758776,0.034758776,0.034758776,0.0,0.028553203,0.027349018,0.0,0.0017309227,-0.027348975,0.034758754,0.0044746553,0.034758735,0.0,0.0,1.094056e-09,0.028553184,0.027349003,0.030284094,0.0,0.0,0.0,0.0,6.417203e-09,0.03475878
39600,0.03475877,0.03475877,0.03475877,0.03475877,0.006205576,0.0044746543,0.0,0.0,0.0,0.0,2.302089e-09,1.9549304e-09,1.8025498e-08,0.034758743,0.0074097593,0.034758784,0.034758784,0.034758784,0.0,0.028553192,0.027349023,0.0,0.0017309219,-0.027348982,0.03475874,0.004474654,0.034758724,0.0,0.0,7.593531e-09,0.028553175,0.027349008,0.030284083,0.0,0.0,0.0,0.0,-1.3231747e-08,0.03475877
43200,0.03475878,0.03475878,0.03475878,0.03475878,0.0062055783,0.0044746557,0.0,0.0,0.0,0.0,-3.1796734e-09,-2.6254992e-09,-4.820871e-09,0.034758728,0.007409758,0.034758776,0.034758776,0.034758776,0.0,0.028553203,0.027349018,0.0,0.0017309227,-0.027348975,0.034758754,0.0044746553,0.034758735,0.0,0.0,7.259005e-10,0.028553184,0.027349003,0.030284094,0.0,0.0,0.0,0.0,5.7245576e-11,0.03475878
46800,0.03475876,0.03475876,0.03475876,0.03475876,0.0062055755,0.004474654,0.0,0.0,0.0,0.0,9.949587e-10,2.7573518e-10,2.4678759e-08,0.034758747,0.0074097603,0.034758784,0.034758784,0.034758784,0.0,0.028553188,0.027349027,0.0,0.0017309218,-0.027348984,0.034758735,0.0044746534,0.034758717,0.0,0.0,1.8767182e-08,0.028553171,0.027349012,0.030284079,0.0,0.0,0.0,0.0,-3.846891e-09,0.03475876
