,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.02512114,0.02512114,0.02512114,0.02512114,0.025121005,0.025121015,0.0021850711,0.0021850711,0.0021850711,0.0036330607,0.025121005,0.025121005,0.02512102,0.02512104,0.025121083,0.025121136,0.025121136,0.025121136,7.0956915e-08,1.3340721e-07,0.0,3.8082465e-08,0.0,0.0,0.011116033,0.02293594,0.0,0.010371933,0.0,0.0,6.2337044e-08,-1.9619916e-08,0.0,0.011819922,0.0014479895,0.0,0.011116027,0.021487944,0.02512114
3600,0.025121136,0.025121136,0.025121136,0.025121136,0.025121005,0.025121013,0.0021850714,0.0021850711,0.0021850711,0.0036330612,0.025121005,0.025121005,0.02512102,0.02512104,0.025121083,0.025121136,0.025121136,0.025121136,6.872286e-08,1.294585e-07,0.0,3.7722145e-08,0.0,0.0,0.011116036,0.02293594,0.0,0.010371929,0.0,0.0,5.9598413e-08,-1.9590075e-08,0.0,0.011819919,0.0014479897,0.0,0.01111603,0.021487944,0.025121136
7200,0.025121136,0.025121136,0.025121136,0.025121136,0.025121005,0.025121013,0.0021850714,0.0021850711,0.0021850711,0.0036330612,0.025121005,0.025121005,0.02512102,0.02512104,0.025121083,0.025121136,0.025121136,0.025121136,6.9613215e-08,1.3103313e-07,0.0,3.7722682e-08,0.0,0.0,0.011116036,0.02293594,0.0,0.010371929,0.0,0.0,6.061097e-08,-1.9556298e-08,0.0,0.011819919,0.0014479897,0.0,0.01111603,0.021487944,0.025121136
10800,0.025121134,0.025121134,0.025121134,0.025121134,0.025121005,0.025121015,0.0021850714,0.0021850711,0.0021850711,0.0036330612,0.025121005,0.025121005,0.02512102,0.02512104,0.025121083,0.025121136,0.025121136,0.025121136,6.872311e-08,1.2840664e-07,0.0,3.9924366e-08,0.0,0.0,0.011116038,0.02293594,0.0,0.010371929,0.0,0.0,5.8093477e-08,-1.9690825e-08,0.0,0.011819919,0.0014479897,0.0,0.01111603,0.021487944,0.025121134
14400,0.025121137,0.025121137,0.025121137,0.025121137,0.025121005,0.025121013,0.0021850714,0.0021850711,0.0021850711,0.0036330612,0.025121005,0.025121005,0.02512102,0.02512104,0.025121083,0.025121136,0.025121136,0.025121136,7.194e-08,1.3190183e-07,0.0,3.9363858e-08,0.0,0.0,0.011116036,0.02293594,0.0,0.010371929,0.0,0.0,6.2681224e-08,-2.0982698e-08,0.0,0.011819919,0.0014479896,0.0,0.01111603,0.021487944,0.025121137
18000,0.025121137,0.025121137,0.025121137,0.025121137,0.025121005,0.025121013,0.0021850714,0.0021850711,0.0021850711,0.0036330612,0.025121005,0.025121005,0.025121018,0.02512104,0.025121083,0.025121136,0.025121136,0.025121136,7.1878006e-08,1.3314086e-07,0.0,4.002378e-08,0.0,0.0,0.011116036,0.022935938,0.0,0.010371929,0.0,0.0,6.162498e-08,-1.9556264e-08,0.0,0.011819919,0.0014479896,0.0,0.01111603,0.021487944,0.025121137
21600,0.02512113,0.02512113,0.02512113,0.02512113,0.025121007,0.025121015,0.0021850716,0.0021850714,0.0021850714,0.0036330612,0.025121007,0.025121007,0.025121022,0.02512104,0.025121085,0.025121137,0.025121137,0.025121137,6.644979e-08,1.2388462e-07,0.0,3.8490366e-08,0.0,0.0,0.011116038,0.022935942,0.0,0.010371929,0.0,0.0,5.6556335e-08,-1.9556298e-08,0.0,0.011819919,0.0014479897,0.0,0.011116031,0.021487948,0.02512113
25200,0.025121137,0.025121137,0.025121137,0.025121137,0.025121005,0.025121013,0.0021850714,0.0021850711,0.0021850711,0.0036330612,0.025121005,0.025121005,0.025121018,0.02512104,0.025121083,0.025121136,0.025121136,0.025121136,7.094467e-08,1.3261413e-07,0.0,3.9200177e-08,0.0,0.0,0.011116036,0.02293594,0.0,0.010371929,0.0,0.0,6.162638e-08,-2.0984265e-08,0.0,0.011819919,0.0014479896,0.0,0.01111603,0.021487944,0.025121137
28800,0.025121137,0.025121137,0.025121137,0.025121137,0.025121005,0.025121013,0.0021850714,0.0021850711,0.0021850711,0.0036330612,0.025121005,0.025121005,0.025121018,0.02512104,0.025121083,0.025121136,0.025121136,0.025121136,7.010263e-08,1.3189693e-07,0.0,3.8520078e-08,0.0,0.0,0.011116036,0.02293594,0.0,0.010371929,0.0,0.0,6.217016e-08,-2.3509996e-08,0.0,0.011819919,0.0014479896,0.0,0.01111603,0.021487944,0.025121137
32400,0.025121134,0.025121134,0.025121134,0.025121134,0.025121005,0.025121015,0.0021850714,0.0021850714,0.0021850714,0.0036330612,0.025121005,0.025121005,0.02512102,0.02512104,0.025121085,0.025121136,0.025121136,0.025121136,6.826975e-08,1.2708608e-07,0.0,3.6281033e-08,0.0,0.0,0.011116038,0.02293594,0.0,0.010371929,0.0,0.0,5.959673e-08,-1.8236321e-08,0.0,0.011819919,0.0014479897,0.0,0.01111603,0.021487944,0.025121134
36000,0.025121136,0.025121136,0.025121136,0.025121136,0.025121005,0.025121013,0.0021850714,0.0021850711,0.0021850711,0.0036330612,0.025121005,0.025121005,0.02512102,0.02512104,0.025121083,0.025121136,0.025121136,0.025121136,6.919297e-08,1.297798e-07,0.0,3.9200213e-08,0.0,0.0,0.011116036,0.02293594,0.0,0.010371929,0.0,0.0,5.964003e-08,-2.0840424e-08,0.0,0.011819919,0.0014479897,0.0,0.01111603,0.021487944,0.025121136
39600,0.025121137,0.025121137,0.025121137,0.025121137,0.025121005,0.025121013,0.0021850714,0.0021850711,0.0021850711,0.0036330612,0.025121005,0.025121005,0.025121018,0.02512104,0.025121083,0.025121136,0.025121136,0.025121136,7.006849e-08,1.3242206e-07,0.0,3.8470315e-08,0.0,0.0,0.011116036,0.022935938,0.0,0.010371929,0.0,0.0,6.112774e-08,-2.0874193e-08,0.0,0.011819919,0.0014479896,0.0,0.01111603,0.021487944,0.025121137
43200,0.025121137,0.025121137,0.025121137,0.025121137,0.025121005,0.025121013,0.0021850714,0.0021850711,0.0021850711,0.0036330612,0.025121005,0.025121005,0.025121018,0.02512104,0.025121083,0.025121136,0.025121136,0.025121136,7.050325e-08,1.3102601e-07,0.0,3.772276e-08,0.0,0.0,0.011116036,0.02293594,0.0,0.010371929,0.0,0.0,6.161093e-08,-1.9556655e-08,0.0,0.011819919,0.0014479896,0.0,0.01111603,0.021487944,0.025121137
