,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.03813321,0.03813321,0.03813321,0.03813321,0.0051799444,0.0006564272,0.0,0.0,0.0,0.0,0.0,0.0,1.2868653e-08,0.0,0.00516494,0.038133357,0.038133357,0.038133357,0.022472426,0.03295327,0.032968417,0.015660932,0.004523517,0.00516494,-1.4376711e-07,0.0006564272,-1.5204677e-08,0.0,0.0,-5.6297857e-08,0.010480844,0.010495993,-0.000656572,0.0,0.0,0.0,-1.3749461e-07,0.0,0.03813321
3600,0.03813329,0.03813329,0.03813329,0.03813329,0.0051799575,0.0006564324,0.0,0.0,0.0,0.0,0.0,0.0,-1.4409462e-08,0.0,0.0051649287,0.038133286,0.038133286,0.038133286,0.022472404,0.032953333,0.032968353,0.01566088,0.0045235245,0.0051649283,3.1357563e-09,0.0006564324,1.2061951e-08,0.0,0.0,-1.642213e-08,0.0104809245,0.0104959505,-0.00065642886,0.0,0.0,0.0,-1.598789e-08,0.0,0.03813329
7200,0.03813318,0.03813318,0.03813318,0.03813318,0.005179939,0.0006564247,0.0,0.0,0.0,0.0,0.0,0.0,1.1563809e-09,0.0,0.005164945,0.038133394,0.038133394,0.038133394,0.022472434,0.032953244,0.032968447,0.015660957,0.004523514,0.0051649446,-1.5195003e-07,0.0006564247,-5.1518057e-08,0.0,0.0,8.3093027e-10,0.010480806,0.010496013,-0.000656637,0.0,0.0,0.0,-6.620425e-08,0.0,0.03813318
10800,0.03813328,0.03813328,0.03813328,0.03813328,0.0051799556,0.0006564318,0.0,0.0,0.0,0.0,0.0,0.0,2.6715823e-09,0.0,0.00516493,0.038133293,0.038133293,0.038133293,0.022472408,0.032953322,0.032968365,0.015660884,0.004523524,0.00516493,-1.1530581e-08,0.0006564318,-2.9607934e-09,0.0,0.0,7.4329276e-09,0.010480915,0.010495955,-0.00065644615,0.0,0.0,0.0,-4.406038e-08,0.0,0.03813328
14400,0.038133305,0.038133305,0.038133305,0.038133305,0.0051799603,0.00065643364,0.0,0.0,0.0,0.0,0.0,0.0,-2.1815607e-09,0.0,0.005164926,0.038133267,0.038133267,0.038133267,0.0224724,0.032953348,0.032968342,0.015660867,0.0045235273,0.005164926,3.581942e-08,0.00065643364,-1.5936401e-09,0.0,0.0,2.7810145e-08,0.010480945,0.01049594,-0.00065639435,0.0,0.0,0.0,3.8061476e-08,0.0,0.038133305
18000,0.03813334,0.03813334,0.03813334,0.03813334,0.0051799673,0.0006564363,0.0,0.0,0.0,0.0,0.0,0.0,1.448635e-09,0.0,0.0051649204,0.03813323,0.03813323,0.03813323,0.02247239,0.032953378,0.03296831,0.01566084,0.004523531,0.0051649204,1.10003064e-07,0.0006564363,0.0,0.0,0.0,1.3541172e-09,0.010480985,0.010495919,-0.0006563228,0.0,0.0,0.0,-7.717256e-09,0.0,0.03813334
21600,0.038133293,0.038133293,0.038133293,0.038133293,0.0051799584,0.0006564328,0.0,0.0,0.0,0.0,0.0,0.0,-3.1216978e-09,0.0,0.0051649283,0.03813328,0.03813328,0.03813328,0.022472402,0.032953337,0.03296835,0.015660875,0.004523526,0.005164928,1.616557e-08,0.0006564328,6.9863115e-09,0.0,0.0,-2.9539777e-09,0.010480932,0.010495947,-0.0006564171,0.0,0.0,0.0,4.7585837e-09,0.0,0.038133293
25200,0.03813327,0.03813327,0.03813327,0.03813327,0.0051799547,0.0006564313,0.0,0.0,0.0,0.0,0.0,0.0,-1.800449e-09,0.0,0.005164931,0.038133297,0.038133297,0.038133297,0.02247241,0.032953314,0.03296837,0.01566089,0.004523523,0.005164931,-2.7273925e-08,0.0006564313,3.0831615e-09,0.0,0.0,-6.980649e-10,0.010480908,0.01049596,-0.0006564592,0.0,0.0,0.0,-2.0578248e-08,0.0,0.03813327
28800,0.03813329,0.03813329,0.03813329,0.03813329,0.0051799575,0.0006564324,0.0,0.0,0.0,0.0,0.0,0.0,7.879152e-09,0.0,0.0051649287,0.038133286,0.038133286,0.038133286,0.022472404,0.032953333,0.032968353,0.01566088,0.0045235245,0.0051649283,3.64014e-09,0.0006564324,-5.8666374e-09,0.0,0.0,9.45602e-09,0.0104809245,0.0104959505,-0.0006564288,0.0,0.0,0.0,8.8587715e-09,0.0,0.03813329
32400,0.038133275,0.038133275,0.038133275,0.038133275,0.0051799556,0.0006564315,0.0,0.0,0.0,0.0,0.0,0.0,-1.9104558e-09,0.0,0.0051649306,0.038133297,0.038133297,0.038133297,0.022472408,0.03295332,0.032968365,0.015660888,0.0045235236,0.0051649306,-2.0067127e-08,0.0006564315,7.97172e-10,0.0,0.0,-6.4419527e-09,0.0104809115,0.010495958,-0.00065645314,0.0,0.0,0.0,-2.6256044e-09,0.0,0.038133275
