,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.034923106,0.034923106,0.034923106,0.034923106,0.03492309,0.0,0.0,-9.925112e-10,-6.587821e-10,-6.644015e-10,0.0,0.0,-1.3199106e-09,0.0,-6.0016184e-08,0.03492304,0.03492304,0.03492304,0.034923103,0.0,0.034923103,0.0,0.03492309,-6.329367e-08,0.0,0.0,-2.4737655e-08,-1.13006784e-10,-5.0044413e-10,-3.75676e-09,-0.034923088,0.0,0.0,0.0,0.0,6.9705436e-08,9.79807e-09,3.4231942e-09,0.034923106
3600,0.0349231,0.0349231,0.0349231,0.0349231,0.034923084,0.0,0.0,-1.0734834e-09,8.96921e-11,-1.8897171e-10,0.0,0.0,1.2879183e-09,0.0,-5.0507104e-08,0.034923047,0.034923047,0.034923047,0.0349231,0.0,0.0349231,0.0,0.034923084,-5.4077574e-08,0.0,0.0,4.5255888e-08,-6.046434e-08,3.2567236e-09,1.8658022e-09,-0.034923084,0.0,0.0,0.0,0.0,5.4158914e-08,2.694713e-09,1.2873139e-08,0.0349231
7200,0.0349231,0.0349231,0.0349231,0.0349231,0.034923084,0.0,0.0,4.420808e-09,4.5679425e-09,4.358277e-09,0.0,0.0,-3.2830425e-09,0.0,-4.434669e-08,0.03492305,0.03492305,0.03492305,0.034923095,0.0,0.034923095,0.0,0.03492308,-5.469931e-08,0.0,0.0,3.5557663e-09,-9.25661e-09,-6.5878334e-09,5.113952e-10,-0.03492308,0.0,0.0,0.0,0.0,4.7029545e-08,2.899084e-08,-4.286844e-09,0.0349231
10800,0.03492308,0.03492308,0.03492308,0.03492308,0.034923065,0.0,0.0,-1.049489e-09,-8.428498e-10,-5.6900773e-10,0.0,0.0,-1.41985375e-08,0.0,-8.092172e-09,0.03492307,0.03492307,0.03492307,0.03492308,0.0,0.03492308,0.0,0.034923065,-8.673759e-09,0.0,0.0,1.4989514e-08,-2.6770854e-09,1.6312519e-09,-1.3272983e-08,-0.03492306,0.0,0.0,0.0,0.0,1.3711807e-08,-4.0663567e-10,-7.334596e-10,0.03492308
14400,0.03492309,0.03492309,0.03492309,0.03492309,0.034923073,0.0,0.0,9.644991e-09,9.444525e-09,8.439962e-09,0.0,0.0,3.292106e-08,0.0,-2.7399972e-08,0.034923058,0.034923058,0.034923058,0.034923088,0.0,0.034923088,0.0,0.034923073,-2.7773583e-08,0.0,0.0,-3.219724e-08,-9.524831e-09,-9.590236e-09,3.2755388e-08,-0.034923073,0.0,0.0,0.0,0.0,2.9445404e-08,5.8349375e-08,2.9371047e-10,0.03492309
18000,0.03492307,0.03492307,0.03492307,0.03492307,0.034923054,0.0,0.0,-7.776144e-09,4.4665023e-12,-2.5213758e-09,0.0,0.0,-4.8890922e-09,0.0,1.4185604e-08,0.034923084,0.034923084,0.034923084,0.03492307,0.0,0.034923065,0.0,0.034923054,1.4913524e-09,0.0,0.0,7.903258e-09,9.828831e-09,8.903465e-09,-5.709431e-09,-0.03492305,0.0,0.0,0.0,0.0,-1.3833277e-08,-1.8472136e-08,3.0939713e-09,0.03492307
21600,0.03492308,0.03492308,0.03492308,0.03492308,0.03492306,0.0,0.0,-5.891329e-09,-5.575958e-09,-5.683987e-09,0.0,0.0,-5.1202464e-09,0.0,4.1398955e-09,0.03492308,0.03492308,0.03492308,0.034923073,0.0,0.034923073,0.0,0.034923058,4.3164676e-09,0.0,0.0,4.144979e-09,8.424752e-09,6.2492784e-09,-6.789483e-09,-0.034923058,0.0,0.0,0.0,0.0,-1.9720663e-09,-8.524226e-09,1.0154846e-08,0.03492308
25200,0.034923084,0.034923084,0.034923084,0.034923084,0.03492307,0.0,0.0,4.612317e-10,8.051486e-10,1.7484523e-09,0.0,0.0,2.3448394e-09,0.0,-1.3428463e-08,0.034923065,0.034923065,0.034923065,0.03492308,0.0,0.03492308,0.0,0.034923065,-1.0628209e-08,0.0,0.0,-6.7927335e-09,1.8114769e-09,7.150326e-09,-2.9884606e-09,-0.034923065,0.0,0.0,0.0,0.0,1.0040284e-09,1.3418312e-08,2.6505542e-09,0.034923084
28800,0.03492308,0.03492308,0.03492308,0.03492308,0.034923065,0.0,0.0,-1.3066193e-08,-1.3136176e-08,-1.31002516e-08,0.0,0.0,-1.4045234e-09,0.0,-7.4434685e-09,0.03492307,0.03492307,0.03492307,0.03492308,0.0,0.03492308,0.0,0.034923065,-7.481867e-09,0.0,0.0,4.2805323e-10,1.3615011e-08,1.525878e-08,-3.988528e-09,-0.03492306,0.0,0.0,0.0,0.0,8.893595e-09,9.787413e-09,0.0,0.03492308
32400,0.034922995,0.034922995,0.034922995,0.034922995,0.03492298,0.0,0.0,2.6389517e-09,3.4293035e-09,3.3096992e-09,0.0,0.0,4.6060205e-08,0.0,2.0060462e-07,0.034923192,0.034923192,0.034923192,0.03492299,0.0,0.03492299,0.0,0.03492298,2.002525e-07,0.0,0.0,-5.3989602e-08,7.250624e-08,1.1476001e-07,3.6545735e-08,-0.034922976,0.0,0.0,0.0,0.0,-1.9877376e-07,-1.4768128e-07,-9.712828e-08,0.034922995
