,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.034940835,0.034940835,0.034940835,0.034940835,0.0,0.0,4.5464934e-05,7.1694567e-06,7.169456e-06,6.323722e-05,0.00035747423,0.00035747423,0.00035747423,0.004470647,0.03494082,0.034940835,0.034940835,0.034940835,0.03494083,0.034940835,0.0,-0.0016627953,0.0,0.030470172,0.0013053226,-4.546454e-05,0.004113172,0.00029423702,3.8295475e-05,0.0,0.0,-0.034940816,0.0016627966,0.0003120093,5.6067765e-05,0.0028078496,0.0,0.00029423702,0.034940835
3600,0.034940828,0.034940828,0.034940828,0.034940828,0.0,0.0,4.5464934e-05,7.1694567e-06,7.1694567e-06,6.3237225e-05,0.00035747423,0.00035747423,0.00035747423,0.004470647,0.034940813,0.034940828,0.034940828,0.034940828,0.034940828,0.034940828,0.0,-0.0016627953,0.0,0.030470166,0.0013053226,-4.546454e-05,0.004113172,0.00029423702,3.8295475e-05,0.0,0.0,-0.034940813,0.0016627966,0.00031200933,5.6067765e-05,0.0028078496,0.0,0.00029423702,0.034940828
7200,0.034940828,0.034940828,0.034940828,0.034940828,0.0,0.0,4.5464934e-05,7.1694576e-06,7.1694567e-06,6.3237225e-05,0.00035747423,0.00035747423,0.00035747423,0.004470647,0.034940813,0.034940828,0.034940828,0.034940828,0.034940828,0.034940828,0.0,-0.0016627953,0.0,0.030470166,0.0013053226,-4.546454e-05,0.004113172,0.00029423702,3.829548e-05,0.0,0.0,-0.034940813,0.0016627966,0.00031200933,5.6067773e-05,0.0028078496,0.0,0.00029423702,0.034940828
10800,0.034940828,0.034940828,0.034940828,0.034940828,0.0,0.0,4.5464938e-05,7.1694567e-06,7.1694567e-06,6.3237225e-05,0.00035747423,0.00035747423,0.00035747423,0.004470647,0.034940813,0.034940828,0.034940828,0.034940828,0.034940828,0.034940828,0.0,-0.0016627953,0.0,0.030470166,0.0013053226,-4.546454e-05,0.004113172,0.00029423702,3.8295475e-05,0.0,0.0,-0.034940813,0.0016627966,0.00031200933,5.6067773e-05,0.0028078496,0.0,0.00029423702,0.034940828
14400,0.034940828,0.034940828,0.034940828,0.034940828,0.0,0.0,4.5464934e-05,7.1694567e-06,7.1694567e-06,6.3237225e-05,0.00035747423,0.00035747423,0.00035747423,0.004470647,0.034940813,0.034940828,0.034940828,0.034940828,0.034940828,0.034940828,0.0,-0.0016627953,0.0,0.030470166,0.0013053226,-4.546454e-05,0.004113172,0.00029423702,3.829548e-05,0.0,0.0,-0.034940813,0.0016627966,0.0003120093,5.6067765e-05,0.0028078496,0.0,0.00029423702,0.034940828
18000,0.034940828,0.034940828,0.034940828,0.034940828,0.0,0.0,4.5464934e-05,7.1694567e-06,7.1694567e-06,6.3237225e-05,0.00035747423,0.00035747423,0.00035747423,0.004470647,0.034940813,0.034940828,0.034940828,0.034940828,0.034940828,0.034940828,0.0,-0.0016627953,0.0,0.030470166,0.0013053226,-4.546454e-05,0.004113172,0.00029423702,3.829548e-05,0.0,0.0,-0.034940813,0.0016627966,0.0003120093,5.6067765e-05,0.0028078496,0.0,0.00029423702,0.034940828
21600,0.034940828,0.034940828,0.034940828,0.034940828,0.0,0.0,4.5464938e-05,7.1694567e-06,7.1694567e-06,6.3237225e-05,0.00035747423,0.00035747423,0.00035747423,0.004470647,0.034940813,0.034940828,0.034940828,0.034940828,0.034940828,0.034940828,0.0,-0.0016627953,0.0,0.030470166,0.0013053226,-4.546454e-05,0.004113172,0.00029423702,3.829548e-05,0.0,0.0,-0.034940813,0.0016627966,0.00031200933,5.6067765e-05,0.0028078496,0.0,0.00029423702,0.034940828
25200,0.034940828,0.034940828,0.034940828,0.034940828,0.0,0.0,4.5464934e-05,7.1694567e-06,7.1694567e-06,6.3237225e-05,0.00035747423,0.00035747423,0.00035747423,0.004470647,0.034940813,0.034940828,0.034940828,0.034940828,0.034940828,0.034940828,0.0,-0.0016627953,0.0,0.030470166,0.0013053226,-4.546454e-05,0.004113172,0.00029423702,3.829548e-05,0.0,0.0,-0.034940813,0.0016627966,0.0003120093,5.6067765e-05,0.0028078496,0.0,0.00029423702,0.034940828
28800,0.034940828,0.034940828,0.034940828,0.034940828,0.0,0.0,4.5464934e-05,7.1694567e-06,7.1694567e-06,6.3237225e-05,0.00035747423,0.00035747423,0.00035747423,0.004470647,0.034940813,0.034940828,0.034940828,0.034940828,0.034940828,0.034940828,0.0,-0.0016627953,0.0,0.030470166,0.0013053226,-4.546454e-05,0.004113172,0.00029423702,3.8295475e-05,0.0,0.0,-0.034940813,0.0016627966,0.00031200933,5.6067765e-05,0.0028078496,0.0,0.00029423702,0.034940828
32400,0.034940828,0.034940828,0.034940828,0.034940828,0.0,0.0,4.5464934e-05,7.1694576e-06,7.1694567e-06,6.3237225e-05,0.00035747423,0.00035747423,0.00035747423,0.004470647,0.034940813,0.034940828,0.034940828,0.034940828,0.034940828,0.034940828,0.0,-0.0016627953,0.0,0.030470166,0.0013053226,-4.5464538e-05,0.004113172,0.00029423702,3.829548e-05,0.0,0.0,-0.034940813,0.0016627966,0.0003120093,5.6067765e-05,0.0028078496,0.0,0.00029423702,0.034940828
