,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.035036657,0.035036657,0.035036657,0.035036657,0.03503665,0.0047019455,0.0,-1.2429643e-08,-1.20656e-08,0.0,0.0,0.0,0.0,0.0,0.006182092,0.035036653,0.035036653,0.035036653,0.0,0.0,0.028854562,0.021671973,0.030334702,0.006182091,0.013364676,0.0047019455,0.0,0.0,1.3138045e-08,0.0,0.0,0.02885456,0.008662733,2.0286115e-09,1.4117004e-08,-0.013364676,0.0,0.0,0.035036657
3600,0.035036467,0.035036467,0.035036467,0.035036467,0.03503646,0.004701913,0.0,-7.4056633e-10,1.4395272e-09,0.0,0.0,0.0,0.0,0.0,0.006182133,0.03503689,0.03503689,0.03503689,0.0,0.0,0.028854754,0.021672055,0.030334545,0.006182133,0.013364829,0.004701913,0.0,0.0,1.2877005e-07,0.0,0.0,0.02885475,0.008662494,-4.2191704e-07,-7.3440165e-09,-0.013364829,0.0,0.0,0.035036467
7200,0.03503665,0.03503665,0.03503665,0.03503665,0.03503664,0.004701945,0.0,7.477149e-11,-4.4505424e-10,0.0,0.0,0.0,0.0,0.0,0.0061820922,0.035036653,0.035036653,0.035036653,0.0,0.0,0.028854562,0.021671968,0.030334694,0.0061820922,0.013364681,0.004701945,0.0,0.0,6.3958167e-10,0.0,0.0,0.028854555,0.008662731,-1.210578e-09,1.0367356e-09,-0.013364681,0.0,0.0,0.03503665
10800,0.035036653,0.035036653,0.035036653,0.035036653,0.035036646,0.004701946,0.0,-6.2725203e-10,-1.296617e-09,0.0,0.0,0.0,0.0,0.0,0.006182091,0.03503665,0.03503665,0.03503665,0.0,0.0,0.028854555,0.021671964,0.030334698,0.006182091,0.013364677,0.004701946,0.0,0.0,-1.4726806e-09,0.0,0.0,0.02885455,0.008662738,8.25052e-09,4.6932724e-09,-0.013364677,0.0,0.0,0.035036653
14400,0.035036653,0.035036653,0.035036653,0.035036653,0.03503664,0.004701945,0.0,2.8609934e-09,2.7421816e-09,0.0,0.0,0.0,0.0,0.0,0.006182092,0.035036653,0.035036653,0.035036653,0.0,0.0,0.02885456,0.021671968,0.030334694,0.006182092,0.013364681,0.004701945,0.0,0.0,-4.393269e-09,0.0,0.0,0.028854555,0.008662732,-2.405249e-09,-2.0478195e-09,-0.013364681,0.0,0.0,0.035036653
18000,0.035036653,0.035036653,0.035036653,0.035036653,0.035036646,0.004701946,0.0,-1.1273628e-09,-8.828426e-10,0.0,0.0,0.0,0.0,0.0,0.006182092,0.03503665,0.03503665,0.03503665,0.0,0.0,0.028854555,0.021671966,0.030334698,0.006182091,0.013364678,0.004701946,0.0,0.0,3.3647893e-09,0.0,0.0,0.02885455,0.008662736,1.1030373e-08,8.9141e-09,-0.013364678,0.0,0.0,0.035036653
21600,0.035036657,0.035036657,0.035036657,0.035036657,0.03503665,0.004701947,0.0,-1.1486972e-09,-1.1563902e-09,0.0,0.0,0.0,0.0,0.0,0.00618209,0.03503664,0.03503664,0.03503664,0.0,0.0,0.02885455,0.02167196,0.030334702,0.00618209,0.0133646745,0.004701947,0.0,0.0,1.6252565e-09,0.0,0.0,0.028854547,0.008662742,1.39943515e-08,1.9730335e-08,-0.0133646745,0.0,0.0,0.035036657
25200,0.035036653,0.035036653,0.035036653,0.035036653,0.035036646,0.004701946,0.0,-5.3072778e-08,-5.2821285e-08,0.0,0.0,0.0,0.0,0.0,0.006182091,0.03503665,0.03503665,0.03503665,0.0,0.0,0.028854555,0.021671964,0.030334698,0.006182091,0.013364676,0.004701946,0.0,0.0,1.9438373e-08,0.0,0.0,0.028854547,0.008662739,7.820314e-09,5.224898e-08,-0.013364676,0.0,0.0,0.035036653
28800,0.035036646,0.035036646,0.035036646,0.035036646,0.035036635,0.0047019445,0.0,-3.319856e-09,-3.370256e-09,0.0,0.0,0.0,0.0,0.0,0.0061820927,0.035036657,0.035036657,0.035036657,0.0,0.0,0.028854562,0.02167197,0.03033469,0.0061820927,0.013364683,0.0047019445,0.0,0.0,3.4589553e-09,0.0,0.0,0.02885456,0.008662728,-5.0822463e-10,2.9176022e-09,-0.013364683,0.0,0.0,0.035036646
32400,0.03503666,0.03503666,0.03503666,0.03503666,0.035036653,0.0047019473,0.0,-1.381085e-09,-1.4076327e-09,0.0,0.0,0.0,0.0,0.0,0.006182089,0.035036635,0.035036635,0.035036635,0.0,0.0,0.028854547,0.02167196,0.030334702,0.006182089,0.013364672,0.0047019473,0.0,0.0,-9.34525e-09,0.0,0.0,0.028854545,0.008662745,1.7838197e-08,1.7847825e-08,-0.013364672,0.0,0.0,0.03503666
