,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.032579597,0.032579597,0.032579597,0.032579597,0.03257959,0.0,5.5841314e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032579575,0.03257959,0.03257959,0.03257959,0.0,0.0,0.0,0.03257959,0.03257959,0.032579575,-4.275244e-08,-2.4749486e-10,0.0,0.0,6.3646177e-09,0.0,0.0,0.0,0.0,-1.3137541e-08,0.0,2.131625e-08,0.0,0.0,0.032579597
3600,0.032579597,0.032579597,0.032579597,0.032579597,0.03257959,0.0,-1.1682876e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032579575,0.032579586,0.032579586,0.032579586,0.0,0.0,0.0,0.03257959,0.03257959,0.032579575,-1.0450899e-08,4.280165e-09,0.0,0.0,2.8767315e-09,0.0,0.0,0.0,0.0,1.1614961e-08,0.0,1.7021993e-08,0.0,0.0,0.032579597
7200,0.03257959,0.03257959,0.03257959,0.03257959,0.032579586,0.0,-3.1105034e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032579586,0.03257959,0.03257959,0.03257959,0.0,0.0,0.0,0.032579586,0.032579586,0.032579586,3.0608938e-10,-3.5565055e-08,0.0,0.0,5.986825e-08,0.0,0.0,0.0,0.0,-5.3884545e-08,0.0,-5.7293104e-10,0.0,0.0,0.03257959
10800,0.032579593,0.032579593,0.032579593,0.032579593,0.032579586,0.0,-2.7047625e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032579582,0.03257959,0.03257959,0.03257959,0.0,0.0,0.0,0.03257959,0.032579586,0.032579582,-1.0345272e-08,2.7041072e-08,0.0,0.0,-2.7587756e-08,0.0,0.0,0.0,0.0,2.6775199e-08,0.0,1.1218373e-08,0.0,0.0,0.032579593
14400,0.03257959,0.03257959,0.03257959,0.03257959,0.032579575,0.0,3.0238114e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03257959,0.032579597,0.032579597,0.032579597,0.0,0.0,0.0,0.032579582,0.032579575,0.03257959,1.01931725e-08,-1.3195093e-09,0.0,0.0,1.7213042e-09,0.0,0.0,0.0,0.0,-9.900238e-09,0.0,-6.242424e-09,0.0,0.0,0.03257959
18000,0.032579582,0.032579582,0.032579582,0.032579582,0.03257957,0.0,2.2906495e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032579593,0.0325796,0.0325796,0.0325796,0.0,0.0,0.0,0.03257957,0.03257957,0.032579593,2.0015138e-08,5.0832333e-10,0.0,0.0,7.673874e-10,0.0,0.0,0.0,0.0,-4.008024e-08,0.0,-2.020716e-08,0.0,0.0,0.032579582
21600,0.03257959,0.03257959,0.03257959,0.03257959,0.032579582,0.0,-2.6826414e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032579586,0.032579593,0.032579593,0.032579593,0.0,0.0,0.0,0.032579586,0.032579582,0.032579586,-1.8314253e-08,2.8289489e-09,0.0,0.0,-3.1452194e-09,0.0,0.0,0.0,0.0,1.1627218e-08,0.0,2.832601e-08,0.0,0.0,0.03257959
25200,0.032579593,0.032579593,0.032579593,0.032579593,0.032579586,0.0,-1.4842814e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032579582,0.03257959,0.03257959,0.03257959,0.0,0.0,0.0,0.03257959,0.032579586,0.032579582,7.7428314e-10,1.0040343e-08,0.0,0.0,-1.3076642e-09,0.0,0.0,0.0,0.0,-9.66908e-10,0.0,5.114976e-09,0.0,0.0,0.032579593
28800,0.032579593,0.032579593,0.032579593,0.032579593,0.032579586,0.0,6.2375616e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032579582,0.03257959,0.03257959,0.03257959,0.0,0.0,0.0,0.03257959,0.032579586,0.032579582,-3.2258092e-09,-6.2054104e-09,0.0,0.0,6.216285e-09,0.0,0.0,0.0,0.0,-6.6880212e-09,0.0,5.383362e-09,0.0,0.0,0.032579593
32400,0.032579593,0.032579593,0.032579593,0.032579593,0.03257959,0.0,-2.069125e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032579582,0.03257959,0.03257959,0.03257959,0.0,0.0,0.0,0.03257959,0.03257959,0.032579582,-1.239263e-09,1.6419884e-09,0.0,0.0,5.776527e-09,0.0,0.0,0.0,0.0,-1.2887663e-08,0.0,1.1875292e-08,0.0,0.0,0.032579593
36000,0.032579597,0.032579597,0.032579597,0.032579597,0.03257959,0.0,1.7926576e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032579575,0.03257959,0.03257959,0.03257959,0.0,0.0,0.0,0.03257959,0.03257959,0.032579575,-1.3112425e-08,-6.1714456e-10,0.0,0.0,-1.0604968e-09,0.0,0.0,0.0,0.0,1.4017417e-08,0.0,1.1392271e-08,0.0,0.0,0.032579597
39600,0.03257959,0.03257959,0.03257959,0.03257959,0.032579575,0.0,-3.838659e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03257959,0.032579597,0.032579597,0.032579597,0.0,0.0,0.0,0.032579575,0.032579575,0.03257959,1.7993024e-08,1.15747945e-08,0.0,0.0,-3.8887182e-09,0.0,0.0,0.0,0.0,-1.5769339e-09,0.0,-1.18024115e-08,0.0,0.0,0.03257959
43200,0.032579612,0.032579612,0.032579612,0.032579612,0.032579605,0.0,-8.329834e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03257956,0.032579567,0.032579567,0.032579567,0.0,0.0,0.0,0.032579605,0.032579605,0.03257956,-1.900392e-08,8.922231e-09,0.0,0.0,-1.1271345e-08,0.0,0.0,0.0,0.0,1.0328966e-08,0.0,1.5554926e-08,0.0,0.0,0.032579612
