,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.03802198,0.03802198,0.03802198,0.03802198,0.0,5.219484e-05,2.616377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0380221,0.0380221,0.0380221,0.0380221,0.03802198,0.0380221,5.8104274e-06,-5.219438e-05,0.0,-1.022662e-05,2.603107e-05,0.0,4.4171998e-06,2.6163765e-05,0.0,-7.921574e-08,0.0,-5.8004247e-05,-2.1746562e-05,0.0,5.8096416e-06,-4.417116e-06,0.0,0.03802198
3600,0.03802202,0.03802202,0.03802202,0.03802202,0.0,1.7783572e-09,-3.0136235e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03802206,0.03802206,0.03802206,0.038022056,0.03802202,0.038022056,-3.090199e-08,2.7607252e-09,0.0,5.3840643e-09,3.1073224e-08,0.0,-1.4722352e-08,-2.9497768e-08,0.0,-3.7462506e-08,0.0,-1.35205145e-08,1.5548142e-08,0.0,-5.2733487e-08,1.6959577e-08,0.0,0.03802202
7200,0.03802204,0.03802204,0.03802204,0.03802204,0.0,1.0860304e-08,2.7278897e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022038,0.038022038,0.038022038,0.038022038,0.03802204,0.038022038,1.6077977e-09,-8.564286e-09,0.0,1.2204655e-08,1.0595219e-08,0.0,-1.4101695e-09,4.6422763e-09,0.0,8.3589535e-09,0.0,2.0272264e-09,6.1099272e-09,0.0,-2.2284978e-09,1.732604e-08,0.0,0.03802204
10800,0.038022008,0.038022008,0.038022008,0.038022008,0.0,-5.092229e-09,-7.3388486e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03802207,0.03802207,0.03802207,0.03802207,0.038022008,0.03802207,-2.5431342e-08,2.8860616e-09,0.0,-1.3021617e-09,-1.7296028e-10,0.0,2.6093765e-08,-2.0718391e-10,0.0,-6.6496625e-08,0.0,-3.661037e-08,-4.229631e-08,0.0,-2.6628417e-08,-3.7367442e-08,0.0,0.038022008
14400,0.038022064,0.038022064,0.038022064,0.038022064,0.0,-1.9086133e-09,2.1678663e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022015,0.038022015,0.038022015,0.038022015,0.03802206,0.038022015,1.517296e-08,-4.959895e-09,0.0,1.6673201e-09,-1.8555094e-09,0.0,-6.3630434e-09,-2.9878822e-09,0.0,4.5949037e-08,0.0,2.3880125e-08,1.0948997e-08,0.0,1.5917106e-08,9.447924e-09,0.0,0.038022064
18000,0.03802204,0.03802204,0.03802204,0.03802204,0.0,-1.6811086e-09,6.9677764e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022038,0.038022038,0.038022038,0.038022038,0.03802204,0.038022038,-2.3743397e-08,1.0629115e-08,0.0,1.6442025e-08,-2.865481e-10,0.0,1.217712e-08,2.4254794e-08,0.0,4.429123e-09,0.0,2.6359134e-08,1.1406362e-08,0.0,-2.4014142e-08,-8.245638e-09,0.0,0.03802204
21600,0.038022026,0.038022026,0.038022026,0.038022026,0.0,-1.2995982e-08,-3.2652576e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022052,0.038022052,0.038022052,0.038022052,0.038022026,0.038022052,-8.235956e-09,-1.4731962e-08,0.0,3.0279945e-09,-1.3610306e-10,0.0,-1.2978305e-08,-6.396132e-09,0.0,-2.481736e-08,0.0,-1.968123e-07,1.7904566e-09,0.0,-7.813962e-09,-1.0802311e-10,0.0,0.038022026
25200,0.03802202,0.03802202,0.03802202,0.03802202,0.0,-4.2315267e-09,-5.285611e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022056,0.038022056,0.038022056,0.038022056,0.03802202,0.038022056,-2.7940413e-08,1.0245059e-08,0.0,5.027318e-09,3.573644e-08,0.0,5.8492505e-10,-8.5959675e-09,0.0,-3.7607947e-08,0.0,-2.2922894e-08,-1.167533e-08,0.0,-2.142751e-08,-1.4580738e-08,0.0,0.03802202
28800,0.038022052,0.038022052,0.038022052,0.038022052,0.0,3.011745e-09,-6.0669053e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038022026,0.038022026,0.038022026,0.038022026,0.038022052,0.038022026,-1.2185386e-09,7.18694e-09,0.0,6.5080923e-09,5.825337e-09,0.0,-3.3805805e-09,-7.881501e-09,0.0,2.6106308e-08,0.0,2.1498636e-08,1.724846e-08,0.0,-5.1644733e-09,-5.883131e-11,0.0,0.038022052
32400,0.038022038,0.038022038,0.038022038,0.038022038,0.0,-5.5525997e-09,9.485327e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03802204,0.03802204,0.03802204,0.03802204,0.038022038,0.03802204,3.0566158e-09,6.1632086e-09,0.0,-1.2153542e-08,-7.1696955e-09,0.0,7.1280652e-09,-6.3636403e-09,0.0,-9.841116e-09,0.0,1.1706276e-10,1.8115102e-08,0.0,-3.867654e-09,-8.54959e-09,0.0,0.038022038
